,商品,总实际金额,销售量,平均单价,离差标准化销售量,cluster,销量标签
36,雪碧最新款,227.5,78,2.9166666666666665,0.14689265536723164,2,热销
37,维他奶,173.0,62,2.7903225806451615,0.1167608286252354,0,滞销
38,伊利优酸乳,348.5,143,2.437062937062937,0.2693032015065913,2,热销
39,500ml统一阿萨姆奶茶,351.5,65,5.407692307692308,0.1224105461393597,0,滞销
40,500ml加多宝,230.5,44,5.238636363636363,0.08286252354048965,0,滞销
41,5片装益达绿箭口香糖,26.0,11,2.3636363636363638,0.02071563088512241,0,滞销
42,统一来一桶香辣老坛酸菜牛肉面,88.0,14,6.285714285714286,0.026365348399246705,0,滞销
43,无穷农场盐_鸡蛋,123.5,34,3.6323529411764706,0.064030131826742,0,滞销
44,12g劲仔小鱼麻辣味,282.5,103,2.7427184466019416,0.19397363465160075,2,热销
45,250ml燕塘红枣牛奶,596.0,128,4.65625,0.24105461393596986,2,热销
46,怡宝纯净水,1070.5,531,2.0160075329566856,1.0,1,正常
47,250ml燕塘原味酸奶,541.0,112,4.830357142857143,0.21092278719397364,2,热销
48,85g嘉士利果乐果香夹心饼干蓝莓味,180.0,40,4.5,0.07532956685499058,0,滞销
49,85g新麦潮北海道吐司,314.0,100,3.14,0.18832391713747645,2,热销
50,双汇玉米热狗肠,44.0,19,2.3157894736842106,0.035781544256120526,0,滞销
51,250ml红牛,522.0,71,7.352112676056338,0.1337099811676083,2,热销
52,2g韩国海牌海苔,128.5,50,2.57,0.09416195856873823,0,滞销
53,脉动,1272.5,309,4.118122977346278,0.5819209039548022,1,正常
54,益力多100g*5瓶,89.5,7,12.785714285714286,0.013182674199623353,0,滞销
55,银鹭八宝粥,416.0,103,4.038834951456311,0.19397363465160075,2,热销
56,越南LIPO奶味面包干100g,32.0,4,8.0,0.007532956685499058,0,滞销
57,加多宝,27.0,4,6.75,0.007532956685499058,0,滞销
58,脉动（青柠）,25.0,5,5.0,0.009416195856873822,0,滞销
59,奥利奥原味芝士,40.0,8,5.0,0.015065913370998116,0,滞销
60,四洲粟一烧烧烤味,126.0,11,11.454545454545455,0.02071563088512241,0,滞销
61,75g新麦潮天然酵母面包（北海道牛奶风味）,128.0,48,2.6666666666666665,0.0903954802259887,0,滞销
62,丽芝士纳宝帝奶酪威化饼干,24.5,7,3.5,0.013182674199623353,0,滞销
63,85g新麦潮手撕面包（提子味）,269.5,81,3.3271604938271606,0.15254237288135594,2,热销
64,诗竹竹纤维面巾纸,86.4,16,5.4,0.030131826741996232,0,滞销
65,雀巢咖啡,241.5,34,7.102941176470588,0.064030131826742,0,滞销
66,果粒橙,449.0,145,3.0965517241379312,0.2730696798493409,2,热销
67,威化饼干,14.0,4,3.5,0.007532956685499058,0,滞销
68,香豆干,149.6,124,1.2064516129032257,0.2335216572504708,2,热销
69,优益C活菌型乳酸菌饮品,147.0,17,8.647058823529411,0.032015065913371,0,滞销
70,78g卫龙亲嘴语辣条,325.5,69,4.717391304347826,0.12994350282485875,2,热销
71,可乐可乐,70.0,13,5.384615384615385,0.02448210922787194,0,滞销
72,小鱼仔,137.5,114,1.206140350877193,0.21468926553672316,2,热销
73,维他奶（巧克力味）,13.0,4,3.25,0.007532956685499058,0,滞销
74,45g双汇泡面拍挡,94.5,54,1.75,0.1016949152542373,0,滞销
75,20g咪咪虾条马来西亚风味,394.3,169,2.3331360946745563,0.3182674199623352,2,热销
76,维他原味豆奶,38.5,10,3.85,0.018832391713747645,0,滞销
77,100g*5瓶益力多,620.5,40,15.5125,0.07532956685499058,0,滞销
78,可口可乐330ml,138.0,54,2.5555555555555554,0.1016949152542373,0,滞销
79,250ml维他椰子植物蛋白饮料,48.0,8,6.0,0.015065913370998116,0,滞销
80,40g乐事薯片黄瓜味,255.5,53,4.820754716981132,0.09981167608286252,0,滞销
81,80g四洲粟一烧烧烤味,307.0,39,7.871794871794871,0.07344632768361582,0,滞销
82,250ml维他奶低糖原味,86.6,25,3.464,0.047080979284369114,0,滞销
83,86g合味道浓猪骨味,122.0,19,6.421052631578948,0.035781544256120526,0,滞销
84,泰奇八宝粥,83.5,11,7.590909090909091,0.02071563088512241,0,滞销
85,58g丽芝士纳宝帝奶酪威化饼干,202.0,55,3.672727272727273,0.10357815442561205,0,滞销
86,70g乐事薯片黄瓜味,154.5,24,6.4375,0.04519774011299435,0,滞销
87,上好佳田园薯片,24.0,6,4.0,0.011299435028248588,0,滞销
88,80g香飘飘椰果奶茶原味,81.0,14,5.785714285714286,0.026365348399246705,0,滞销
89,600ml脉动青柠,258.8,51,5.074509803921569,0.096045197740113,0,滞销
90,86g合味道海鲜风味,705.5,109,6.472477064220183,0.20527306967984935,2,热销
91,14g德芙巧克力,5.0,2,2.5,0.003766478342749529,0,滞销
92,旺仔牛奶145ml,9.0,3,3.0,0.005649717514124294,0,滞销
93,统一绿茶,468.5,151,3.1026490066225167,0.2843691148775895,2,热销
94,205g伊利安慕希原味,374.0,53,7.056603773584905,0.09981167608286252,0,滞销
95,34g公仔迷你杯牛肉味,42.0,11,3.8181818181818183,0.02071563088512241,0,滞销
96,维他奶黑豆奶饮品,24.5,7,3.5,0.013182674199623353,0,滞销
97,450ml美汁源果粒橙,355.0,69,5.144927536231884,0.12994350282485875,2,热销
98,无穷烤鸡小腿（蜂蜜）,72.0,22,3.272727272727273,0.04143126177024482,0,滞销
99,188g澳门永辉鸡仔饼,374.0,11,34.0,0.02071563088512241,0,滞销
100,480ml小茗同学冷泡青柠红茶,209.0,36,5.805555555555555,0.06779661016949153,0,滞销
101,10g卫龙亲嘴烧香辣味,33.1,25,1.324,0.047080979284369114,0,滞销
102,香脆肠,50.5,32,1.578125,0.060263653483992465,0,滞销
103,熊字饼,142.5,47,3.0319148936170213,0.08851224105461393,0,滞销
104,芙蓉王,482.0,20,24.1,0.03766478342749529,0,滞销
105,芬达330ml,121.0,47,2.574468085106383,0.08851224105461393,0,滞销
106,咪咪,8.0,8,1.0,0.015065913370998116,0,滞销
107,伊利纯牛奶,252.5,90,2.8055555555555554,0.1694915254237288,2,热销
108,37.5g费列罗榛果威化巧克力3颗,268.30000000000007,23,11.66521739130435,0.04331450094161959,0,滞销
109,劲仔小鱼（卤香味）,21.0,10,2.1,0.018832391713747645,0,滞销
110,50g上好佳日式鱼果,148.5,30,4.95,0.05649717514124294,0,滞销
111,70g乐事薯片（黄瓜味）,77.0,11,7.0,0.02071563088512241,0,滞销
112,安慕希酸奶,12.0,2,6.0,0.003766478342749529,0,滞销
113,口味王槟榔（绿）,600.0,60,10.0,0.11299435028248588,0,滞销
114,40g呀土豆薯片滋香烤鸡味,112.0,25,4.48,0.047080979284369114,0,滞销
115,冰糖雪梨,128.0,39,3.282051282051282,0.07344632768361582,0,滞销
116,250ml维他奶黑豆奶饮品,42.0,11,3.8181818181818183,0.02071563088512241,0,滞销
117,40g乐事美国经典原味,147.5,30,4.916666666666667,0.05649717514124294,0,滞销
118,250ml维他奶巧克力味,227.0,69,3.289855072463768,0.12994350282485875,2,热销
119,百事可乐500ml,76.0,25,3.04,0.047080979284369114,0,滞销
120,王老吉（500ml）,432.5,108,4.00462962962963,0.2033898305084746,2,热销
121,味之不规则饼干（芝士味）,10.0,1,10.0,0.0018832391713747645,0,滞销
122,70g乐事薯片原味,58.5,9,6.5,0.01694915254237288,0,滞销
123,250ML东鹏特饮,75.5,16,4.71875,0.030131826741996232,0,滞销
124,巧克力奶油味蛋糕,6.0,2,3.0,0.003766478342749529,0,滞销
125,260g马来西亚进口茱蒂丝口口香饼干,234.0,8,29.25,0.015065913370998116,0,滞销
126,50g双层百力滋奶咖味,35.5,7,5.071428571428571,0.013182674199623353,0,滞销
127,可口可乐（500ml）,308.0,101,3.0495049504950495,0.1902071563088512,2,热销
128,110g顺宝九制话梅,202.6,41,4.941463414634146,0.07721280602636535,0,滞销
129,燕塘红枣牛奶,49.5,11,4.5,0.02071563088512241,0,滞销
130,印尼芝士威化饼干,78.5,26,3.019230769230769,0.04896421845574388,0,滞销
131,100g果王咸柑桔罐装,116.0,20,5.8,0.03766478342749529,0,滞销
132,150g健能酸奶原味,168.0,28,6.0,0.05273069679849341,0,滞销
133,220g宝丰龙龟苓膏,9.0,2,4.5,0.003766478342749529,0,滞销
134,雪碧（500ml）,368.3,123,2.994308943089431,0.23163841807909605,2,热销
135,10g越南LIPO奶味面包干,8.0,5,1.6,0.009416195856873822,0,滞销
136,30g元朗小蛋卷,77.5,27,2.8703703703703702,0.05084745762711865,0,滞销
137,600ml雪碧,108.80000000000001,40,2.72,0.07532956685499058,0,滞销
138,370g泰奇八宝粥,149.0,24,6.208333333333333,0.04519774011299435,0,滞销
139,乐虎（380ml）,20.0,5,4.0,0.009416195856873822,0,滞销
140,凤爪,19.0,9,2.111111111111111,0.01694915254237288,0,滞销
141,180ml雀巢咖啡罐装,126.0,22,5.7272727272727275,0.04143126177024482,0,滞销
142,65g卫龙亲嘴豆皮,135.0,28,4.821428571428571,0.05273069679849341,0,滞销
143,70g乖媳妇野山泡椒凤爪,303.0,77,3.935064935064935,0.14500941619585686,2,热销
144,148g富甲一方紫薯仔,279.5,39,7.166666666666667,0.07344632768361582,0,滞销
145,新麦潮天然酵母面包,80.0,17,4.705882352941177,0.032015065913371,0,滞销
146,雪碧330ml,178.5,67,2.6641791044776117,0.12617702448210924,2,热销
147,好吃点,62.0,14,4.428571428571429,0.026365348399246705,0,滞销
148,250ml统一麦香奶茶,47.5,16,2.96875,0.030131826741996232,0,滞销
149,康师傅矿泉水,26.2,19,1.3789473684210527,0.035781544256120526,0,滞销
150,103g康师傅红烧牛肉面,82.5,15,5.5,0.02824858757062147,0,滞销
151,205ml安慕希蓝莓味,40.599999999999994,7,5.799999999999999,0.013182674199623353,0,滞销
152,12g劲仔小鱼卤香味,64.5,20,3.225,0.03766478342749529,0,滞销
153,40g呀土豆番茄酱味,89.5,20,4.475,0.03766478342749529,0,滞销
154,80g马赛克香蕉片,112.0,16,7.0,0.030131826741996232,0,滞销
155,145g果王迷你山楂包装,28.0,4,7.0,0.007532956685499058,0,滞销
156,燕塘原味酸奶,27.0,6,4.5,0.011299435028248588,0,滞销
157,劲仔小鱼（麻辣味）,54.0,9,6.0,0.01694915254237288,0,滞销
158,20g马来西亚风味咪咪蟹味粒0219,64.39999999999999,23,2.8,0.04331450094161959,0,滞销
159,50g上好佳田园薯片番茄味,81.0,18,4.5,0.03389830508474576,0,滞销
160,225g味之不规则饼干芝士味,200.0,20,10.0,0.03766478342749529,0,滞销
161,美汁源果粒橙,36.0,8,4.5,0.015065913370998116,0,滞销
162,维他柠檬茶,186.5,58,3.2155172413793105,0.10922787193973635,0,滞销
163,钙芝奶酪味高钙威化饼干,1.5,1,1.5,0.0018832391713747645,0,滞销
164,好吃点小饼干,25.0,24,1.0416666666666667,0.04519774011299435,0,滞销
165,口味王槟榔（红）,415.0,30,13.833333333333334,0.05649717514124294,0,滞销
166,55g奥利奥迷你杯夹心小饼干杯装原味,38.5,7,5.5,0.013182674199623353,0,滞销
167,83g汤达人酸辣豚骨拉面,32.5,4,8.125,0.007532956685499058,0,滞销
168,韩国海牌海苔,28.800000000000004,12,2.4000000000000004,0.022598870056497175,0,滞销
169,52g旺旺仙贝,229.5,50,4.59,0.09416195856873823,0,滞销
170,盼盼手撕面包,28.0,7,4.0,0.013182674199623353,0,滞销
171,80g香飘飘椰果奶茶麦香味,53.5,13,4.115384615384615,0.02448210922787194,0,滞销
172,55g奥利奥原味夹心饼干,64.5,14,4.607142857142857,0.026365348399246705,0,滞销
173,小茗同学冷泡茶（乳酸菌味）,5.5,1,5.5,0.0018832391713747645,0,滞销
174,美年达（罐）,53.0,19,2.789473684210526,0.035781544256120526,0,滞销
175,劲仔小鱼,19.5,10,1.95,0.018832391713747645,0,滞销
176,500ml统一冰糖雪梨,21.0,4,5.25,0.007532956685499058,0,滞销
177,145ml旺仔牛奶罐装,6.0,2,3.0,0.003766478342749529,0,滞销
178,107g出前一丁桶面酱香牛肉王,72.0,12,6.0,0.022598870056497175,0,滞销
179,珠江纯生啤酒,13.0,3,4.333333333333333,0.005649717514124294,0,滞销
180,多芙利香草奶油味蛋糕,36.0,6,6.0,0.011299435028248588,0,滞销
181,250ml王老吉盒装,62.5,22,2.840909090909091,0.04143126177024482,0,滞销
182,91g徐福记凤梨酥,234.0,36,6.5,0.06779661016949153,0,滞销
183,150抽诗竹竹纤维面巾纸,57.599999999999994,9,6.3999999999999995,0.01694915254237288,0,滞销
184,480ml小茗同学冷泡溜溜哒茶,50.5,7,7.214285714285714,0.013182674199623353,0,滞销
185,40g上好佳日式鱼果,53.0,10,5.3,0.018832391713747645,0,滞销
186,40g卫龙点心面黑椒牛排味,48.5,8,6.0625,0.015065913370998116,0,滞销
187,40g乐事薯片墨西哥鸡汁番茄味,58.5,12,4.875,0.022598870056497175,0,滞销
188,尖叫,76.5,19,4.026315789473684,0.035781544256120526,0,滞销
189,和成天下（红）,0.0,0,,0.0,0,滞销
190,10g越南LIPO奶味面包干0015,4.5,4,1.125,0.007532956685499058,0,滞销
191,雪碧,63.0,8,7.875,0.015065913370998116,0,滞销
192,50g双层百力滋特浓番茄味,40.5,9,4.5,0.01694915254237288,0,滞销
193,123gUFO炒面XO酱海鲜风味,13.0,2,6.5,0.003766478342749529,0,滞销
194,顺宝九制梅,0.0,0,,0.0,0,滞销
195,合味道（海鲜风味）,35.0,4,8.75,0.007532956685499058,0,滞销
196,34g公仔迷你杯风味排骨味,3.5,1,3.5,0.0018832391713747645,0,滞销
197,日式鱼果,51.5,13,3.9615384615384617,0.02448210922787194,0,滞销
198,120g达利园蔓越莓提子面包,6.0,1,6.0,0.0018832391713747645,0,滞销
199,56g益达无糖口香糖,26.0,2,13.0,0.003766478342749529,0,滞销
200,50g马赛克手撕鱿鱼条,177.8,20,8.89,0.03766478342749529,0,滞销
201,70g乐事薯片（原味）,37.0,6,6.166666666666667,0.011299435028248588,0,滞销
202,卫龙亲嘴烧麦辣鸡汁味,22.5,14,1.6071428571428572,0.026365348399246705,0,滞销
203,燕塘甜牛奶,31.5,7,4.5,0.013182674199623353,0,滞销
204,乖媳妇野山椒风爪,0.0,0,,0.0,0,滞销
205,500ML宝矿力,22.0,4,5.5,0.007532956685499058,0,滞销
206,雪力矿泉水,58.0,29,2.0,0.054613935969868174,0,滞销
207,阿萨姆煎茶奶绿,80.0,20,4.0,0.03766478342749529,0,滞销
208,湘潭铺子(羽泉版),180.0,18,10.0,0.03389830508474576,0,滞销
209,手撕素肉排,27.2,25,1.088,0.047080979284369114,0,滞销
210,经典奶茶,16.0,4,4.0,0.007532956685499058,0,滞销
211,椰树牌椰汁,73.0,16,4.5625,0.030131826741996232,0,滞销
212,汤达人桶面,0.0,0,,0.0,0,滞销
213,180g统一满汉全席台式半筋半肉牛肉面,257.40000000000003,6,42.900000000000006,0.011299435028248588,0,滞销
214,500ml康师傅冰糖雪梨,14.0,4,3.5,0.007532956685499058,0,滞销
215,40g上好佳田园薯片,0.0,0,,0.0,0,滞销
216,鸡爪,18.0,9,2.0,0.01694915254237288,0,滞销
217,乐虎,49.0,11,4.454545454545454,0.02071563088512241,0,滞销
218,可口可乐330ml（罐）,12.5,5,2.5,0.009416195856873822,0,滞销
219,健能酸奶,20.0,2,10.0,0.003766478342749529,0,滞销
220,迷你纸巾,0.0,0,,0.0,0,滞销
221,冰红茶（罐）,15.0,6,2.5,0.011299435028248588,0,滞销
222,可乐（500ml）,0.0,0,,0.0,0,滞销
223,117gUFO炒面铁板色拉鱿鱼风味,32.5,5,6.5,0.009416195856873822,0,滞销
224,百事可乐330ml,39.0,15,2.6,0.02824858757062147,0,滞销
225,小茗同学,30.0,6,5.0,0.011299435028248588,0,滞销
226,500ml恒大冰泉矿泉水,12.5,3,4.166666666666667,0.005649717514124294,0,滞销
227,统一阿萨姆奶茶,38.5,7,5.5,0.013182674199623353,0,滞销
228,和成天下（黄）,10.0,1,10.0,0.0018832391713747645,0,滞销
229,小糖衣血糖试纸,0.1,1,0.1,0.0018832391713747645,0,滞销
230,250ml维他椰子植物蛋白饮料9374,24.0,6,4.0,0.011299435028248588,0,滞销
231,红利群（硬）,60.0,4,15.0,0.007532956685499058,0,滞销
232,40g上好佳田园薯片番茄味,27.0,5,5.4,0.009416195856873822,0,滞销
233,130g果王玉带蚕豆,35.0,5,7.0,0.009416195856873822,0,滞销
234,小茗同学（青柠红茶）,0.0,0,,0.0,0,滞销
235,220g宝丰龙龟苓膏绿豆味,0.0,0,,0.0,0,滞销
236,怡宝矿泉水,22.0,11,2.0,0.02071563088512241,0,滞销
237,商品2,0.4,4,0.1,0.007532956685499058,0,滞销
238,新麦潮天然酵母面包（良品铺子）,4.0,1,4.0,0.0018832391713747645,0,滞销
239,68g好丽友蛋黄派2枚,66.5,15,4.433333333333334,0.02824858757062147,0,滞销
240,58.5g钙芝奶酪味高钙威化饼干,6.0,2,3.0,0.003766478342749529,0,滞销
241,乐事薯片（青柠）,16.0,2,8.0,0.003766478342749529,0,滞销
242,32g卫龙亲嘴烧川香味,18.0,8,2.25,0.015065913370998116,0,滞销
243,劲仔小鱼（酱汁味）,4.5,2,2.25,0.003766478342749529,0,滞销
244,乐事薯片（黄瓜味）,8.0,1,8.0,0.0018832391713747645,0,滞销
245,新麦潮天然酵母面包（牛奶风味）,48.0,9,5.333333333333333,0.01694915254237288,0,滞销
246,无穷烤鸡小腿,0.0,0,,0.0,0,滞销
247,12g劲仔小鱼（香辣味）,0.0,0,,0.0,0,滞销
248,拿铁咖啡（统一）,15.0,3,5.0,0.005649717514124294,0,滞销
249,小糖衣血糖仪,1.8000000000000003,18,0.10000000000000002,0.03389830508474576,0,滞销
250,78g卫龙亲语,4.5,1,4.5,0.0018832391713747645,0,滞销
251,65g格力高百力滋饼干巧克力味,5.5,1,5.5,0.0018832391713747645,0,滞销
252,250ml维他椰子味豆奶7716,0.0,0,,0.0,0,滞销
253,新麦潮手撕面包（提子味）,19.0,5,3.8,0.009416195856873822,0,滞销
254,20g咩咩世界虾味条,3.2,3,1.0666666666666667,0.005649717514124294,0,滞销
255,脉动（椰子菠萝口味）,10.0,1,10.0,0.0018832391713747645,0,滞销
256,340ml蒙牛优益C乳酸菌,0.0,0,,0.0,0,滞销
257,68g多力多玉米片爆香热辣味,56.0,7,8.0,0.013182674199623353,0,滞销
258,250ml香满楼纯牛奶,7.0,2,3.5,0.003766478342749529,0,滞销
259,汤达人方便面,10.0,2,5.0,0.003766478342749529,0,滞销
260,芦荟汁,6.0,1,6.0,0.0018832391713747645,0,滞销
261,80g盼盼手撕面包,0.0,0,,0.0,0,滞销
262,上好佳洋葱圈,0.0,0,,0.0,0,滞销
263,农夫果园,96.0,13,7.384615384615385,0.02448210922787194,0,滞销
264,40g盼盼手撕面包,2.0,1,2.0,0.0018832391713747645,0,滞销
265,新麦潮北海道吐司,16.0,4,4.0,0.007532956685499058,0,滞销
266,康师傅拉面(袋),2.0,1,2.0,0.0018832391713747645,0,滞销
267,商品14,0.0,0,,0.0,0,滞销
268,330ml伊利畅意乳酸菌草莓味,0.0,0,,0.0,0,滞销
269,78g合味道杯面香菇炖鸡风味,30.0,4,7.5,0.007532956685499058,0,滞销
270,天地一号,20.0,4,5.0,0.007532956685499058,0,滞销
271,维他柠檬茶330ml（罐）,9.0,3,3.0,0.005649717514124294,0,滞销
272,10g越南LIPO奶味面包干0046,4.0,2,2.0,0.003766478342749529,0,滞销
273,合味道（浓猪骨）,35.0,5,7.0,0.009416195856873822,0,滞销
274,13g雀巢咖啡1+2特浓,12.5,4,3.125,0.007532956685499058,0,滞销
275,100g越南LIPO奶味面包干,8.0,1,8.0,0.0018832391713747645,0,滞销
276,劲仔小鱼（香辣味）,3.0,2,1.5,0.003766478342749529,0,滞销
277,20g士力架,10.0,5,2.0,0.009416195856873822,0,滞销
278,多力多滋（热辣味）,7.5,1,7.5,0.0018832391713747645,0,滞销
279,每日特惠,0.0,0,,0.0,0,滞销
280,商品1,0.2,2,0.1,0.003766478342749529,0,滞销
281,口味王槟榔（绿色）,20.0,2,10.0,0.003766478342749529,0,滞销
282,70g乐事薯片青柠味,6.5,1,6.5,0.0018832391713747645,0,滞销
283,娃哈哈红枣酸奶,7.0,2,3.5,0.003766478342749529,0,滞销
284,贡美苹果数据线,19.0,1,19.0,0.0018832391713747645,0,滞销
285,秒充,0.0,0,,0.0,0,滞销
286,味之不规则饼干（番茄味）,0.0,0,,0.0,0,滞销
287,立体声耳机（象牙白）,0.0,0,,0.0,0,滞销
288,182g徐福记凤梨酥,13.0,1,13.0,0.0018832391713747645,0,滞销
289,贡美忆江南充电宝5000mAh,58.0,1,58.0,0.0018832391713747645,0,滞销
290,利群（硬）,0.0,0,,0.0,0,滞销
291,220g宝丰龙龟苓膏菊花味,10.0,2,5.0,0.003766478342749529,0,滞销
292,200g喜之郎/什锦果肉,0.0,0,,0.0,0,滞销
293,75g达利园柠檬蛋糕,0.0,0,,0.0,0,滞销
294,味之不规则饼干（韩国泡菜味）,0.0,0,,0.0,0,滞销
295,越南LIPO奶味面包干10g,2.0,1,2.0,0.0018832391713747645,0,滞销
296,60g溜溜九制梅,0.0,0,,0.0,0,滞销
297,60g湖湘贡手撕鸭脖原味,6.0,1,6.0,0.0018832391713747645,0,滞销
298,90g顺宝九制杨梅,0.0,0,,0.0,0,滞销
299,20g洽洽每日坚果,5.5,1,5.5,0.0018832391713747645,0,滞销
300,商品36,0.0,0,,0.0,0,滞销
301,80g粤光宝盒芒果干,11.0,1,11.0,0.0018832391713747645,0,滞销
302,商品21,0.0,0,,0.0,0,滞销
