,商品,总实际金额,销售量,平均单价,离差标准化销售量,cluster,销量标签,cluster2,金额标签,售货机画像
162,维他柠檬茶,544.5,169,3.2218934911242605,0.09912023460410557,0,滞销,0,低价,低价滞销
21,卫龙大面筋,534.0,168,3.1785714285714284,0.09853372434017596,0,滞销,0,低价,低价滞销
2,430g泰奇八宝粥,1016.0,159,6.389937106918239,0.09325513196480939,0,滞销,2,高价,高价滞销
39,500ml统一阿萨姆奶茶,760.5,158,4.813291139240507,0.09266862170087976,0,滞销,0,低价,低价滞销
30,32g卫龙亲嘴烧,387.0000000000001,151,2.562913907284769,0.08856304985337243,0,滞销,0,低价,低价滞销
6,330ml伊利畅意乳酸菌原味,915.0,149,6.140939597315437,0.0873900293255132,0,滞销,2,高价,高价滞销
4,600ml可口可乐,508.5,145,3.5068965517241377,0.08504398826979472,0,滞销,0,低价,低价滞销
63,85g新麦潮手撕面包（提子味）,446.0,145,3.075862068965517,0.08504398826979472,0,滞销,0,低价,低价滞销
115,冰糖雪梨,508.5,143,3.555944055944056,0.08387096774193549,0,滞销,0,低价,低价滞销
70,78g卫龙亲嘴语辣条,632.0,143,4.419580419580419,0.08387096774193549,0,滞销,0,低价,低价滞销
137,600ml雪碧,380.4000000000001,143,2.6601398601398607,0.08387096774193549,0,滞销,0,低价,低价滞销
22,可口可乐最新款,444.0,142,3.1267605633802815,0.08328445747800586,0,滞销,0,低价,低价滞销
97,450ml美汁源果粒橙,559.5,140,3.9964285714285714,0.08211143695014662,0,滞销,0,低价,低价滞销
118,250ml维他奶巧克力味,438.8,138,3.1797101449275362,0.08093841642228738,0,滞销,0,低价,低价滞销
174,美年达（罐）,395.0,133,2.969924812030075,0.0780058651026393,0,滞销,0,低价,低价滞销
37,维他奶,400.5,132,3.034090909090909,0.07741935483870968,0,滞销,0,低价,低价滞销
72,小鱼仔,174.0,130,1.3384615384615384,0.07624633431085044,0,滞销,0,低价,低价滞销
89,600ml脉动青柠,603.8,127,4.754330708661417,0.07448680351906159,1,正常,0,低价,低价正常
16,咪咪虾条马来西亚风味,191.00000000000003,123,1.5528455284552847,0.07214076246334311,1,正常,0,低价,低价正常
18,55g奥利奥原味芝士饼干,504.5,122,4.135245901639344,0.07155425219941348,1,正常,0,低价,低价正常
85,58g丽芝士纳宝帝奶酪威化饼干,376.5,121,3.1115702479338845,0.07096774193548387,1,正常,0,低价,低价正常
143,70g乖媳妇野山泡椒凤爪,433.5,118,3.6737288135593222,0.06920821114369502,1,正常,0,低价,低价正常
40,500ml加多宝,488.5,116,4.211206896551724,0.06803519061583578,1,正常,0,低价,低价正常
50,双汇玉米热狗肠,272.0,103,2.6407766990291264,0.06041055718475073,1,正常,0,低价,低价正常
31,32g卫龙亲嘴烧红烧牛肉味,264.6000000000001,102,2.5941176470588245,0.05982404692082111,1,正常,0,低价,低价正常
65,雀巢咖啡,732.0,97,7.546391752577319,0.05689149560117302,1,正常,2,高价,高价正常
52,2g韩国海牌海苔,246.39999999999998,95,2.5936842105263156,0.05571847507331378,1,正常,0,低价,低价正常
61,75g新麦潮天然酵母面包（北海道牛奶风味）,270.5,94,2.877659574468085,0.05513196480938416,1,正常,0,低价,低价正常
76,维他原味豆奶,367.5,93,3.9516129032258065,0.05454545454545454,1,正常,0,低价,低价正常
48,85g嘉士利果乐果香夹心饼干蓝莓味,421.5,89,4.735955056179775,0.05219941348973607,1,正常,0,低价,低价正常
94,205g伊利安慕希原味,593.0,89,6.662921348314606,0.05219941348973607,1,正常,2,高价,高价正常
74,45g双汇泡面拍挡,175.5,88,1.9943181818181819,0.05161290322580645,1,正常,0,低价,低价正常
8,茉莉蜜茶,271.5,83,3.2710843373493974,0.04868035190615836,1,正常,0,低价,低价正常
113,口味王槟榔（绿）,820.5,82,10.00609756097561,0.04809384164222874,1,正常,2,高价,高价正常
43,无穷农场盐_鸡蛋,275.0,81,3.3950617283950617,0.04750733137829912,1,正常,0,低价,低价正常
100,480ml小茗同学冷泡青柠红茶,441.5,77,5.733766233766234,0.04516129032258064,1,正常,2,高价,高价正常
102,香脆肠,133.6,76,1.7578947368421052,0.04457478005865103,1,正常,0,低价,低价正常
101,10g卫龙亲嘴烧香辣味,119.39999999999999,72,1.6583333333333332,0.04222873900293255,1,正常,0,低价,低价正常
71,可乐可乐,285.5,71,4.02112676056338,0.04164222873900293,1,正常,0,低价,低价正常
144,148g富甲一方紫薯仔,481.0,70,6.871428571428571,0.04105571847507331,1,正常,2,高价,高价正常
142,65g卫龙亲嘴豆皮,319.5,69,4.630434782608695,0.04046920821114369,1,正常,0,低价,低价正常
188,尖叫,289.0,67,4.313432835820896,0.03929618768328446,1,正常,0,低价,低价正常
98,无穷烤鸡小腿（蜂蜜）,336.0,67,5.014925373134329,0.03929618768328446,1,正常,0,低价,低价正常
77,100g*5瓶益力多,885.0,64,13.828125,0.0375366568914956,1,正常,2,高价,高价正常
285,秒充,384.0,64,6.0,0.0375366568914956,1,正常,2,高价,高价正常
169,52g旺旺仙贝,265.5,63,4.214285714285714,0.03695014662756598,1,正常,0,低价,低价正常
12,500ml农夫果园 (芒果+菠萝+番石榴),299.5,63,4.753968253968254,0.03695014662756598,1,正常,0,低价,低价正常
132,150g健能酸奶原味,247.0,61,4.049180327868853,0.03577712609970674,1,正常,0,低价,低价正常
128,110g顺宝九制话梅,278.6,59,4.722033898305085,0.03460410557184751,1,正常,0,低价,低价正常
82,250ml维他奶低糖原味,191.8,57,3.3649122807017546,0.03343108504398827,1,正常,0,低价,低价正常
0,68g好丽友巧克力派2枚,261.5,56,4.669642857142857,0.03284457478005865,1,正常,0,低价,低价正常
149,康师傅矿泉水,75.89999999999999,54,1.4055555555555554,0.03167155425219941,1,正常,0,低价,低价正常
211,椰树牌椰汁,250.5,54,4.638888888888889,0.03167155425219941,1,正常,0,低价,低价正常
7,160g盼盼手撕面包,365.0,52,7.019230769230769,0.030498533724340176,1,正常,2,高价,高价正常
160,225g味之不规则饼干芝士味,428.5,50,8.57,0.02932551319648094,1,正常,2,高价,高价正常
123,250ML东鹏特饮,228.0,49,4.653061224489796,0.02873900293255132,1,正常,0,低价,低价正常
168,韩国海牌海苔,99.19999999999999,49,2.024489795918367,0.02873900293255132,1,正常,0,低价,低价正常
28,卫龙亲嘴烧红烧牛肉味,135.0,49,2.7551020408163267,0.02873900293255132,1,正常,0,低价,低价正常
217,乐虎,230.0,47,4.8936170212765955,0.02756598240469208,1,正常,0,低价,低价正常
129,燕塘红枣牛奶,243.0,47,5.170212765957447,0.02756598240469208,1,正常,2,高价,高价正常
33,旺仔牛奶,246.40000000000006,47,5.242553191489363,0.02756598240469208,1,正常,2,高价,高价正常
57,加多宝,241.0,46,5.239130434782608,0.026979472140762465,1,正常,2,高价,高价正常
81,80g四洲粟一烧烧烤味,353.0,46,7.673913043478261,0.026979472140762465,1,正常,2,高价,高价正常
136,30g元朗小蛋卷,120.0,44,2.727272727272727,0.025806451612903226,1,正常,0,低价,低价正常
260,芦荟汁,259.0,44,5.886363636363637,0.025806451612903226,1,正常,2,高价,高价正常
148,250ml统一麦香奶茶,122.5,44,2.784090909090909,0.025806451612903226,1,正常,0,低价,低价正常
58,脉动（青柠）,215.0,44,4.886363636363637,0.025806451612903226,1,正常,0,低价,低价正常
59,奥利奥原味芝士,185.0,44,4.204545454545454,0.025806451612903226,1,正常,0,低价,低价正常
182,91g徐福记凤梨酥,286.0,44,6.5,0.025806451612903226,1,正常,2,高价,高价正常
62,丽芝士纳宝帝奶酪威化饼干,150.0,43,3.488372093023256,0.025219941348973606,1,正常,0,低价,低价正常
73,维他奶（巧克力味）,143.5,41,3.5,0.02404692082111437,1,正常,0,低价,低价正常
80,40g乐事薯片黄瓜味,175.5,39,4.5,0.02287390029325513,1,正常,0,低价,低价正常
195,合味道（海鲜风味）,265.5,39,6.8076923076923075,0.02287390029325513,1,正常,2,高价,高价正常
203,燕塘甜牛奶,175.5,39,4.5,0.02287390029325513,1,正常,0,低价,低价正常
227,统一阿萨姆奶茶,209.0,38,5.5,0.022287390029325515,1,正常,2,高价,高价正常
191,雪碧,220.5,38,5.802631578947368,0.022287390029325515,1,正常,2,高价,高价正常
157,劲仔小鱼（麻辣味）,183.0,37,4.945945945945946,0.021700879765395895,1,正常,0,低价,低价正常
11,怡宝,80.0,37,2.1621621621621623,0.021700879765395895,1,正常,0,低价,低价正常
130,印尼芝士威化饼干,112.5,37,3.0405405405405403,0.021700879765395895,1,正常,0,低价,低价正常
206,雪力矿泉水,70.0,35,2.0,0.020527859237536656,1,正常,0,低价,低价正常
133,220g宝丰龙龟苓膏,163.0,35,4.6571428571428575,0.020527859237536656,1,正常,0,低价,低价正常
122,70g乐事薯片原味,245.0,35,7.0,0.020527859237536656,1,正常,2,高价,高价正常
200,50g马赛克手撕鱿鱼条,272.8,35,7.7942857142857145,0.020527859237536656,1,正常,2,高价,高价正常
54,益力多100g*5瓶,453.5,34,13.338235294117647,0.01994134897360704,1,正常,2,高价,高价正常
108,37.5g费列罗榛果威化巧克力3颗,389.3,34,11.450000000000001,0.01994134897360704,1,正常,2,高价,高价正常
244,乐事薯片（黄瓜味）,267.0,34,7.852941176470588,0.01994134897360704,1,正常,2,高价,高价正常
83,86g合味道浓猪骨味,198.0,33,6.0,0.01935483870967742,1,正常,2,高价,高价正常
159,50g上好佳田园薯片番茄味,153.0,33,4.636363636363637,0.01935483870967742,1,正常,0,低价,低价正常
208,湘潭铺子(羽泉版),329.5,32,10.296875,0.0187683284457478,1,正常,2,高价,高价正常
86,70g乐事薯片黄瓜味,196.9,31,6.351612903225806,0.01818181818181818,1,正常,2,高价,高价正常
209,手撕素肉排,40.199999999999996,31,1.296774193548387,0.01818181818181818,1,正常,0,低价,低价正常
117,40g乐事美国经典原味,148.0,31,4.774193548387097,0.01818181818181818,1,正常,0,低价,低价正常
125,260g马来西亚进口茱蒂丝口口香饼干,1188.0,30,39.6,0.017595307917888565,1,正常,1,平价,平价正常
87,上好佳田园薯片,136.0,30,4.533333333333333,0.017595307917888565,1,正常,0,低价,低价正常
41,5片装益达绿箭口香糖,66.0,30,2.2,0.017595307917888565,1,正常,0,低价,低价正常
92,旺仔牛奶145ml,162.0,29,5.586206896551724,0.017008797653958945,1,正常,2,高价,高价正常
156,燕塘原味酸奶,130.5,29,4.5,0.017008797653958945,1,正常,0,低价,低价正常
263,农夫果园,207.0,29,7.137931034482759,0.017008797653958945,1,正常,2,高价,高价正常
114,40g呀土豆薯片滋香烤鸡味,134.5,29,4.637931034482759,0.017008797653958945,1,正常,0,低价,低价正常
172,55g奥利奥原味夹心饼干,124.5,28,4.446428571428571,0.016422287390029325,1,正常,0,低价,低价正常
153,40g呀土豆番茄酱味,126.0,28,4.5,0.016422287390029325,1,正常,0,低价,低价正常
69,优益C活菌型乳酸菌饮品,322.0,28,11.5,0.016422287390029325,1,正常,2,高价,高价正常
110,50g上好佳日式鱼果,134.5,28,4.803571428571429,0.016422287390029325,1,正常,0,低价,低价正常
185,40g上好佳日式鱼果,112.5,28,4.017857142857143,0.016422287390029325,1,正常,0,低价,低价正常
158,20g马来西亚风味咪咪蟹味粒0219,34.8,27,1.2888888888888888,0.015835777126099706,1,正常,0,低价,低价正常
219,健能酸奶,87.0,27,3.2222222222222223,0.015835777126099706,1,正常,0,低价,低价正常
161,美汁源果粒橙,124.0,27,4.592592592592593,0.015835777126099706,1,正常,0,低价,低价正常
42,统一来一桶香辣老坛酸菜牛肉面,148.5,26,5.711538461538462,0.015249266862170088,1,正常,2,高价,高价正常
95,34g公仔迷你杯牛肉味,95.5,26,3.673076923076923,0.015249266862170088,1,正常,0,低价,低价正常
111,70g乐事薯片（黄瓜味）,161.0,26,6.1923076923076925,0.015249266862170088,1,正常,2,高价,高价正常
223,117gUFO炒面铁板色拉鱿鱼风味,182.0,26,7.0,0.015249266862170088,1,正常,2,高价,高价正常
84,泰奇八宝粥,203.0,25,8.12,0.01466275659824047,1,正常,2,高价,高价正常
3,48g好丽友薯愿香烤原味,125.0,25,5.0,0.01466275659824047,1,正常,0,低价,低价正常
141,180ml雀巢咖啡罐装,121.5,24,5.0625,0.01407624633431085,1,正常,0,低价,低价正常
106,咪咪,27.5,24,1.1458333333333333,0.01407624633431085,1,正常,0,低价,低价正常
164,好吃点小饼干,29.5,24,1.2291666666666667,0.01407624633431085,1,正常,0,低价,低价正常
214,500ml康师傅冰糖雪梨,99.0,23,4.304347826086956,0.013489736070381233,1,正常,0,低价,低价正常
187,40g乐事薯片墨西哥鸡汁番茄味,103.0,23,4.478260869565218,0.013489736070381233,1,正常,0,低价,低价正常
13,150g洽洽原香瓜子,160.0,23,6.956521739130435,0.013489736070381233,1,正常,2,高价,高价正常
197,日式鱼果,104.0,22,4.7272727272727275,0.012903225806451613,1,正常,0,低价,低价正常
165,口味王槟榔（红）,315.0,21,15.0,0.012316715542521995,1,正常,2,高价,高价正常
64,诗竹竹纤维面巾纸,110.39999999999999,21,5.257142857142857,0.012316715542521995,1,正常,2,高价,高价正常
177,145ml旺仔牛奶罐装,78.0,21,3.7142857142857144,0.012316715542521995,1,正常,0,低价,低价正常
181,250ml王老吉盒装,60.0,20,3.0,0.011730205278592375,1,正常,0,低价,低价正常
88,80g香飘飘椰果奶茶原味,94.5,20,4.725,0.011730205278592375,1,正常,0,低价,低价正常
131,100g果王咸柑桔罐装,124.0,20,6.2,0.011730205278592375,1,正常,2,高价,高价正常
147,好吃点,85.5,20,4.275,0.011730205278592375,1,正常,0,低价,低价正常
236,怡宝矿泉水,38.0,19,2.0,0.011143695014662757,1,正常,0,低价,低价正常
150,103g康师傅红烧牛肉面,115.5,19,6.078947368421052,0.011143695014662757,1,正常,2,高价,高价正常
201,70g乐事薯片（原味）,107.5,19,5.657894736842105,0.011143695014662757,1,正常,2,高价,高价正常
154,80g马赛克香蕉片,137.0,19,7.2105263157894735,0.011143695014662757,1,正常,2,高价,高价正常
138,370g泰奇八宝粥,107.0,18,5.944444444444445,0.010557184750733138,1,正常,2,高价,高价正常
245,新麦潮天然酵母面包（牛奶风味）,72.0,18,4.0,0.010557184750733138,1,正常,0,低价,低价正常
228,和成天下（黄）,180.0,18,10.0,0.010557184750733138,1,正常,2,高价,高价正常
239,68g好丽友蛋黄派2枚,76.5,17,4.5,0.00997067448680352,1,正常,0,低价,低价正常
184,480ml小茗同学冷泡溜溜哒茶,96.0,16,6.0,0.0093841642228739,1,正常,2,高价,高价正常
186,40g卫龙点心面黑椒牛排味,99.5,16,6.21875,0.0093841642228739,1,正常,2,高价,高价正常
204,乖媳妇野山椒风爪,55.99999999999999,16,3.4999999999999996,0.0093841642228739,1,正常,0,低价,低价正常
140,凤爪,34.0,16,2.125,0.0093841642228739,1,正常,0,低价,低价正常
109,劲仔小鱼（卤香味）,41.0,16,2.5625,0.0093841642228739,1,正常,0,低价,低价正常
213,180g统一满汉全席台式半筋半肉牛肉面,613.8,15,40.919999999999995,0.008797653958944282,1,正常,1,平价,平价正常
155,145g果王迷你山楂包装,105.0,15,7.0,0.008797653958944282,1,正常,2,高价,高价正常
183,150抽诗竹竹纤维面巾纸,71.99999999999999,15,4.799999999999999,0.008797653958944282,1,正常,0,低价,低价正常
152,12g劲仔小鱼卤香味,42.0,15,2.8,0.008797653958944282,1,正常,0,低价,低价正常
194,顺宝九制梅,75.0,15,5.0,0.008797653958944282,1,正常,0,低价,低价正常
170,盼盼手撕面包,56.0,14,4.0,0.008211143695014663,1,正常,0,低价,低价正常
257,68g多力多玉米片爆香热辣味,112.0,14,8.0,0.008211143695014663,1,正常,2,高价,高价正常
265,新麦潮北海道吐司,55.0,14,3.9285714285714284,0.008211143695014663,1,正常,0,低价,低价正常
119,百事可乐500ml,45.0,14,3.2142857142857144,0.008211143695014663,1,正常,0,低价,低价正常
99,188g澳门永辉鸡仔饼,493.0,13,37.92307692307692,0.007624633431085044,1,正常,1,平价,平价正常
178,107g出前一丁桶面酱香牛肉王,84.0,13,6.461538461538462,0.007624633431085044,1,正常,2,高价,高价正常
220,迷你纸巾,13.0,13,1.0,0.007624633431085044,1,正常,0,低价,低价正常
79,250ml维他椰子植物蛋白饮料,57.5,12,4.791666666666667,0.007038123167155425,1,正常,0,低价,低价正常
15,100g卫龙点心面黑椒牛排味,65.7,12,5.4750000000000005,0.007038123167155425,1,正常,2,高价,高价正常
242,32g卫龙亲嘴烧川香味,36.0,12,3.0,0.007038123167155425,1,正常,0,低价,低价正常
207,阿萨姆煎茶奶绿,44.0,11,4.0,0.0064516129032258064,1,正常,0,低价,低价正常
56,越南LIPO奶味面包干100g,88.0,11,8.0,0.0064516129032258064,1,正常,2,高价,高价正常
233,130g果王玉带蚕豆,74.0,11,6.7272727272727275,0.0064516129032258064,1,正常,2,高价,高价正常
171,80g香飘飘椰果奶茶麦香味,54.0,11,4.909090909090909,0.0064516129032258064,1,正常,0,低价,低价正常
241,乐事薯片（青柠）,112.0,10,11.2,0.005865102639296188,1,正常,2,高价,高价正常
225,小茗同学,50.0,10,5.0,0.005865102639296188,1,正常,0,低价,低价正常
151,205ml安慕希蓝莓味,57.99999999999999,10,5.799999999999999,0.005865102639296188,1,正常,2,高价,高价正常
35,500ml营养快线原味,49.5,10,4.95,0.005865102639296188,1,正常,0,低价,低价正常
255,脉动（椰子菠萝口味）,75.0,9,8.333333333333334,0.005278592375366569,1,正常,2,高价,高价正常
226,500ml恒大冰泉矿泉水,30.0,9,3.3333333333333335,0.005278592375366569,1,正常,0,低价,低价正常
166,55g奥利奥迷你杯夹心小饼干杯装原味,55.0,9,6.111111111111111,0.005278592375366569,1,正常,2,高价,高价正常
248,拿铁咖啡（统一）,43.5,8,5.4375,0.00469208211143695,1,正常,2,高价,高价正常
238,新麦潮天然酵母面包（良品铺子）,30.0,8,3.75,0.00469208211143695,1,正常,0,低价,低价正常
261,80g盼盼手撕面包,20.0,8,2.5,0.00469208211143695,1,正常,0,低价,低价正常
126,50g双层百力滋奶咖味,36.0,8,4.5,0.00469208211143695,1,正常,0,低价,低价正常
192,50g双层百力滋特浓番茄味,36.0,8,4.5,0.00469208211143695,1,正常,0,低价,低价正常
196,34g公仔迷你杯风味排骨味,31.5,8,3.9375,0.00469208211143695,1,正常,0,低价,低价正常
202,卫龙亲嘴烧麦辣鸡汁味,13.5,7,1.9285714285714286,0.004105571847507331,1,正常,0,低价,低价正常
249,小糖衣血糖仪,0.7,7,0.09999999999999999,0.004105571847507331,1,正常,0,低价,低价正常
124,巧克力奶油味蛋糕,37.0,7,5.285714285714286,0.004105571847507331,1,正常,2,高价,高价正常
121,味之不规则饼干（芝士味）,62.5,7,8.928571428571429,0.004105571847507331,1,正常,2,高价,高价正常
205,500ML宝矿力,38.0,7,5.428571428571429,0.004105571847507331,1,正常,2,高价,高价正常
232,40g上好佳田园薯片番茄味,33.5,6,5.583333333333333,0.0035190615835777126,1,正常,2,高价,高价正常
180,多芙利香草奶油味蛋糕,36.0,6,6.0,0.0035190615835777126,1,正常,2,高价,高价正常
60,四洲粟一烧烧烤味,53.0,6,8.833333333333334,0.0035190615835777126,1,正常,2,高价,高价正常
216,鸡爪,12.0,6,2.0,0.0035190615835777126,1,正常,0,低价,低价正常
104,芙蓉王,142.0,6,23.666666666666668,0.0035190615835777126,1,正常,1,平价,平价正常
189,和成天下（红）,90.0,6,15.0,0.0035190615835777126,1,正常,2,高价,高价正常
193,123gUFO炒面XO酱海鲜风味,51.0,6,8.5,0.0035190615835777126,1,正常,2,高价,高价正常
116,250ml维他奶黑豆奶饮品,24.0,5,4.8,0.002932551319648094,1,正常,0,低价,低价正常
112,安慕希酸奶,30.0,5,6.0,0.002932551319648094,1,正常,2,高价,高价正常
167,83g汤达人酸辣豚骨拉面,32.5,5,6.5,0.002932551319648094,1,正常,2,高价,高价正常
235,220g宝丰龙龟苓膏绿豆味,28.0,5,5.6,0.002932551319648094,1,正常,2,高价,高价正常
279,每日特惠,6.0,4,1.5,0.002346041055718475,1,正常,0,低价,低价正常
274,13g雀巢咖啡1+2特浓,12.5,4,3.125,0.002346041055718475,1,正常,0,低价,低价正常
243,劲仔小鱼（酱汁味）,6.0,3,2.0,0.0017595307917888563,1,正常,0,低价,低价正常
269,78g合味道杯面香菇炖鸡风味,18.0,3,6.0,0.0017595307917888563,1,正常,2,高价,高价正常
268,330ml伊利畅意乳酸菌草莓味,24.0,3,8.0,0.0017595307917888563,1,正常,2,高价,高价正常
253,新麦潮手撕面包（提子味）,15.5,3,5.166666666666667,0.0017595307917888563,1,正常,2,高价,高价正常
254,20g咩咩世界虾味条,4.800000000000001,3,1.6000000000000003,0.0017595307917888563,1,正常,0,低价,低价正常
252,250ml维他椰子味豆奶7716,7.5,3,2.5,0.0017595307917888563,1,正常,0,低价,低价正常
218,可口可乐330ml（罐）,8.5,3,2.8333333333333335,0.0017595307917888563,1,正常,0,低价,低价正常
190,10g越南LIPO奶味面包干0015,58.5,3,19.5,0.0017595307917888563,1,正常,2,高价,高价正常
176,500ml统一冰糖雪梨,10.5,3,3.5,0.0017595307917888563,1,正常,0,低价,低价正常
280,商品1,0.30000000000000004,3,0.10000000000000002,0.0017595307917888563,1,正常,0,低价,低价正常
135,10g越南LIPO奶味面包干,5.0,3,1.6666666666666667,0.0017595307917888563,1,正常,0,低价,低价正常
247,12g劲仔小鱼（香辣味）,3.0,2,1.5,0.0011730205278592375,1,正常,0,低价,低价正常
256,340ml蒙牛优益C乳酸菌,14.0,2,7.0,0.0011730205278592375,1,正常,2,高价,高价正常
210,经典奶茶,8.0,2,4.0,0.0011730205278592375,1,正常,0,低价,低价正常
293,75g达利园柠檬蛋糕,9.0,2,4.5,0.0011730205278592375,1,正常,0,低价,低价正常
250,78g卫龙亲语,9.0,2,4.5,0.0011730205278592375,1,正常,0,低价,低价正常
286,味之不规则饼干（番茄味）,20.0,2,10.0,0.0011730205278592375,1,正常,2,高价,高价正常
230,250ml维他椰子植物蛋白饮料9374,8.0,2,4.0,0.0011730205278592375,1,正常,0,低价,低价正常
282,70g乐事薯片青柠味,13.0,2,6.5,0.0011730205278592375,1,正常,2,高价,高价正常
221,冰红茶（罐）,5.0,2,2.5,0.0011730205278592375,1,正常,0,低价,低价正常
224,百事可乐330ml,5.5,2,2.75,0.0011730205278592375,1,正常,0,低价,低价正常
277,20g士力架,4.0,2,2.0,0.0011730205278592375,1,正常,0,低价,低价正常
139,乐虎（380ml）,8.0,2,4.0,0.0011730205278592375,1,正常,0,低价,低价正常
273,合味道（浓猪骨）,12.0,2,6.0,0.0011730205278592375,1,正常,2,高价,高价正常
271,维他柠檬茶330ml（罐）,6.0,2,3.0,0.0011730205278592375,1,正常,0,低价,低价正常
291,220g宝丰龙龟苓膏菊花味,10.0,1,10.0,0.0005865102639296188,1,正常,2,高价,高价正常
91,14g德芙巧克力,2.5,1,2.5,0.0005865102639296188,1,正常,0,低价,低价正常
296,60g溜溜九制梅,5.5,1,5.5,0.0005865102639296188,1,正常,2,高价,高价正常
264,40g盼盼手撕面包,2.0,1,2.0,0.0005865102639296188,1,正常,0,低价,低价正常
67,威化饼干,3.0,1,3.0,0.0005865102639296188,1,正常,0,低价,低价正常
272,10g越南LIPO奶味面包干0046,4.0,1,4.0,0.0005865102639296188,1,正常,0,低价,低价正常
302,商品21,0.1,1,0.1,0.0005865102639296188,1,正常,0,低价,低价正常
173,小茗同学冷泡茶（乳酸菌味）,6.0,1,6.0,0.0005865102639296188,1,正常,2,高价,高价正常
237,商品2,0.1,1,0.1,0.0005865102639296188,1,正常,0,低价,低价正常
