,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
233,DD20170816749384668893270771,5.5,5.5,205g伊利安慕希原味,2017-01-08 20:17:00,A,已出货未退款,已提现
234,DD2017060216111640FAFF316059C,6.0,6.0,红牛,2017-01-08 20:19:00,A,已出货未退款,已提现
240,DD201708162209439686672F334A5,2.0,2.0,怡宝纯净水,2017-01-08 20:23:00,A,已出货未退款,已提现
256,DD2017081623403033E3EB4233894,3.0,3.0,果粒橙,2017-01-08 20:42:00,A,已出货未退款,已提现
260,DD201708167493848258789431446,2.5,2.5,无穷农场盐_鸡蛋,2017-01-08 20:48:00,A,已出货未退款,已提现
265,DD201708167493848317297815434,4.5,4.5,40g呀土豆薯片滋香烤鸡味,2017-01-08 20:55:00,A,已出货未退款,已提现
276,DD201708167493849176273799289,3.0,3.0,250ml维他柠檬茶,2017-01-08 21:06:00,A,已出货未退款,已提现
277,DD201708167493849337984472767,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-08 21:07:00,A,已出货未退款,已提现
285,DD20170601235936895056B645BA0,4.0,4.0,阿萨姆奶茶,2017-01-08 21:16:00,A,已出货未退款,已提现
291,DD201708167493849545223043555,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017-01-08 21:20:00,A,已出货未退款,已提现
292,DD201708170329342166182F9E6E6,4.0,4.0,营养快线,2017-01-08 21:21:00,A,已出货未退款,已提现
297,DD201708167493849668133244877,5.0,5.0,85g统一老坛酸菜牛肉面,2017-01-08 21:23:00,A,已出货未退款,已提现
298,DD2017060204030888D5E335DE49B,3.0,3.0,雪碧最新款,2017-01-08 21:24:00,A,已出货未退款,已提现
302,DD2017060205265595FBDC365D9CE,3.5,3.5,东鹏特饮,2017-01-08 21:26:00,A,已出货未退款,已提现
307,DD201708167493849726526063274,1.8,1.8,32g卫龙亲嘴烧,2017-01-08 21:31:00,A,已出货未退款,已提现
308,DD2017081674938497972051053,4.8,4.8,诗竹竹纤维面巾纸,2017-01-08 21:32:00,A,已出货未退款,已提现
311,DD201708167493849964341770263,0.8,0.8,20g咪咪虾条马来西亚风味,2017-01-08 21:43:00,A,已出货未退款,已提现
312,DD201708167493849997234419398,2.0,2.0,85g新麦潮北海道吐司,2017-01-08 21:44:00,A,已出货未退款,已提现
317,DD201708167493850596336153984,6.5,6.5,70g乐事薯片原味,2017-01-08 21:53:00,A,已出货未退款,已提现
321,DD20170602074901664BBC0CAA20C,3.0,3.0,卫龙大面筋,2017-01-08 21:56:00,A,已出货未退款,已提现
329,DD201708167493851137095860395,18.0,18.0,260g马来西亚进口茱蒂丝口口香饼干,2017-01-08 22:42:00,A,已出货未退款,已提现
330,DD201708167493851375071662282,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-08 22:46:00,A,已出货未退款,已提现
339,DD201708167493852728736703542,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-08 23:14:00,A,已出货未退款,已提现
343,DD201708167493852817849135021,5.0,5.0,500ml统一阿萨姆奶茶,2017-01-08 23:24:00,A,已出货未退款,已提现
350,DD201708167493853311020297833,4.5,4.5,500ml加多宝,2017-01-08 23:35:00,A,已出货未退款,已提现
351,DD201708167493853341888124089,6.5,6.5,430g泰奇八宝粥,2017-01-09 00:03:00,A,已出货未退款,已提现
355,DD201708167493853558494654279,4.0,4.0,55g奥利奥原味芝士饼干,2017-01-09 00:06:00,A,已出货未退款,已提现
356,DD2017060208524593229F73E6CF0,3.0,3.0,果粒橙,2017-01-09 00:07:00,A,已出货未退款,已提现
361,DD201708167493854275314353149,6.0,6.0,86g合味道海鲜风味,2017-01-09 00:19:00,A,已出货未退款,已提现
363,DD201708167493854706408608815,4.5,4.5,50g上好佳日式鱼果,2017-01-09 00:21:00,A,已出货未退款,已提现
364,DD201708167493854798080245479,4.5,4.5,50g双层百力滋奶咖味,2017-01-09 00:34:00,A,已出货未退款,已提现
366,DD201708167493854947076212957,6.5,6.5,250ml红牛,2017-01-09 02:06:00,A,已出货未退款,已提现
369,DD201706020934184207A7F9A989D,3.0,3.0,统一冰红茶,2017-01-09 02:44:00,A,已出货未退款,已提现
371,DD20170602094229407C0BDD6042D,3.0,3.0,果粒橙,2017-01-09 03:08:00,A,已出货未退款,已提现
387,DD201708167493856496686844142,1.5,1.5,45g双汇泡面拍挡,2017-01-09 05:01:00,A,已出货未退款,已提现
398,DD201708167493857089796908463,4.5,4.5,燕塘红枣牛奶,2017-01-09 07:39:00,A,已出货未退款,已提现
421,DD201708167493859082120630355,9.0,9.0,500ml农夫果园 (芒果+菠萝+番石榴),2017-01-09 08:57:00,A,已出货未退款,已提现
422,DD201708167493859310832290719,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017-01-09 09:02:00,A,已出货未退款,已提现
434,DD2017060211552243786A8E9C71C,3.0,3.0,可口可乐最新款,2017-01-09 09:46:00,A,已出货未退款,已提现
445,DD201708167493861328814413113,2.0,2.0,10g越南LIPO奶味面包干,2017-01-09 10:45:00,A,已出货未退款,已提现
446,DD201708167493861416383853837,0.0,0.0,30g元朗小蛋卷,2017-01-09 10:46:00,A,已出货未退款,已提现
447,DD201708167493861435405602277,6.0,6.0,330ml伊利畅意乳酸菌原味,2017-01-09 11:11:00,A,已出货未退款,已提现
454,DD201708167493862134624677586,7.5,7.5,雀巢咖啡,2017-01-09 11:59:00,A,已出货未退款,已提现
461,DD201708167493530861468619957,51.0,51.0,188g澳门永辉鸡仔饼,2017-01-09 12:04:00,A,已出货未退款,已提现
462,DD2017060212200533BCC603F95DB,4.0,4.0,阿萨姆奶茶,2017-01-09 12:04:00,A,已出货未退款,已提现
464,DD201706021221242380913114B9E,6.0,6.0,红牛,2017-01-09 12:06:00,A,已出货未退款,已提现
466,DD201708167493862350870896348,6.0,6.0,370g泰奇八宝粥,2017-01-09 12:08:00,A,已出货未退款,已提现
474,DD201708167493862716111257137,8.0,8.0,20g咪咪虾条马来西亚风味,2017-01-09 12:16:00,A,已出货未退款,已提现
479,DD2017060213081977744F450E944,1.5,1.5,鸭翅,2017-01-09 12:19:00,A,已出货未退款,已提现
481,DD2017060213103972137EC98E000,4.0,4.0,乐虎（380ml）,2017-01-09 12:20:00,A,已出货未退款,已提现
485,DD201706021404496568BD56AE236,2.5,2.5,凤爪,2017-01-09 12:23:00,A,已出货未退款,已提现
494,DD201706021416417110247BAA9BD,3.0,3.0,果粒橙,2017-01-09 13:08:00,A,已出货未退款,已提现
505,DD201708167493864006353624102,3.0,3.0,250ml维他柠檬茶,2017-01-09 13:27:00,A,已出货未退款,已提现
513,DD201708167493864884674362417,3.0,3.0,250ml维他柠檬茶,2017-01-09 13:47:00,A,已出货未退款,已提现
522,DD201708167493865691815835382,4.0,4.0,新麦潮天然酵母面包,2017-01-09 14:12:00,A,已出货未退款,已提现
529,DD201706021503191936FCF44028D,3.5,3.5,东鹏特饮,2017-01-09 14:47:00,A,已出货未退款,已提现
545,DD201708167493866168268517266,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-09 15:03:00,A,已出货未退款,已提现
549,DD2017060216200084DD3C7632E9B,3.0,3.0,百事可乐500ml,2017-01-09 15:17:00,A,已出货未退款,已提现
552,DD201708167493866609854730734,6.0,6.0,330ml伊利畅意乳酸菌原味,2017-01-09 15:24:00,A,已出货未退款,已提现
554,DD2017060216342597918E2D25603,4.5,4.5,脉动,2017-01-09 15:30:00,A,已出货未退款,已提现
557,DD20170602163741118535A52A56E,1.5,1.5,香脆肠,2017-01-09 15:32:00,A,已出货未退款,已提现
561,DD201708167493867099990764535,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 15:38:00,A,已出货未退款,已提现
572,DD20170816749300882436594455082,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 16:22:00,A,已出货未退款,已提现
573,DD201708167493276236363955109,2.5,2.5,58g丽芝士纳宝帝奶酪威化饼干,2017-01-09 16:25:00,A,已出货未退款,已提现
574,DD20170817200113922F2323CDF56,1.5,1.5,鸭翅,2017-01-09 16:25:00,A,已出货未退款,已提现
577,DD201708167493531487811511337,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017-01-09 16:38:00,A,已出货未退款,已提现
578,DD2017081720020667898DDF1955D,1.5,1.5,鸭翅,2017-01-09 16:38:00,A,已出货未退款,已提现
579,DD201708167493868670152163876,1.5,1.5,12g劲仔小鱼卤香味,2017-01-09 16:39:00,A,已出货未退款,已提现
588,DD201706021715009861AF91ED470,3.5,3.5,东鹏特饮,2017-01-09 17:16:00,A,已出货未退款,已提现
591,DD201708167493869217472362543,6.0,6.0,86g合味道海鲜风味,2017-01-09 17:17:00,A,已出货未退款,已提现
592,DD201708167493869377985697984,4.5,4.5,250ML东鹏特饮,2017-01-09 17:18:00,A,已出货未退款,已提现
594,DD2017060217250962C09E0F483D5,3.0,3.0,伊利纯牛奶,2017-01-09 17:26:00,A,已出货未退款,已提现
601,DD2017081720340554E25CFFBE57F,4.0,4.0,银鹭八宝粥,2017-01-09 17:34:00,A,已出货未退款,已提现
604,DD201708167493870303785331698,3.0,3.0,40g双汇玉米热狗肠,2017-01-09 17:36:00,A,已出货未退款,已提现
606,DD2017081720445848C3EDCD0B035,4.0,4.0,王老吉（500ml）,2017-01-09 17:40:00,A,已出货未退款,已提现
621,DD201708167493870674648869253,3.5,3.5,维他奶黑豆奶饮品,2017-01-09 17:52:00,A,已出货未退款,已提现
623,DD201708167493871004548229048,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 17:55:00,A,已出货未退款,已提现
624,DD2017081721194985E16C9FD1715,4.0,4.0,王老吉（500ml）,2017-01-09 18:05:00,A,已出货未退款,已提现
626,DD20170817212228723395FBB424F,4.0,4.0,阿萨姆奶茶,2017-01-09 18:13:00,A,已出货未退款,已提现
630,DD201708167493871412886233867,8.0,8.0,450ml美汁源果粒橙,2017-01-09 18:16:00,A,已出货未退款,已提现
645,DD201708167493872323867459236,3.0,3.0,40g双汇玉米热狗肠,2017-01-09 19:04:00,A,已出货未退款,已提现
649,DD20170816749387471195431924,10.0,10.0,无穷农场盐_鸡蛋,2017-01-09 20:55:00,A,已出货未退款,已提现
650,DD201706022010025141E1458465E,3.0,3.0,雪碧（500ml）,2017-01-09 20:56:00,A,已出货未退款,已提现
655,DD201708167493532617183949073,4.0,4.0,450ml美汁源果粒橙,2017-01-09 20:59:00,A,已出货未退款,已提现
656,DD2017081801480622C4F982D9BFA,1.0,1.0,小鱼仔,2017-01-09 20:59:00,A,已出货未退款,已提现
670,DD2017060221540227B80D48799B7,25.0,25.0,芙蓉王,2017-01-09 21:08:00,A,已出货未退款,已提现
682,DD2017060300053145CDABCB3D464,2.0,2.0,怡宝纯净水,2017-01-09 21:13:00,A,已出货未退款,已提现
700,DD201706030304461422C5D490534,2.0,2.0,怡宝纯净水,2017-01-09 21:27:00,A,已出货未退款,已提现
703,DD2017060303051647EA11A3B57D7,4.0,4.0,脉动,2017-01-09 21:29:00,A,已出货未退款,已提现
705,DD2017060303053965A9AE0053A44,3.0,3.0,可口可乐最新款,2017-01-09 21:31:00,A,已出货未退款,已提现
707,DD201708167493876204704955185,9.0,9.0,50g上好佳日式鱼果,2017-01-09 21:35:00,A,已出货未退款,已提现
709,DD20170603030816414BEDBB01899,3.5,3.5,冰糖雪梨,2017-01-09 21:37:00,A,已出货未退款,已提现
712,DD2017060303100287D7342ABFDA5,3.0,3.0,雪碧（500ml）,2017-01-09 21:39:00,A,已出货未退款,已提现
714,DD201706030354405742E1767138A,4.0,4.0,阿萨姆奶茶,2017-01-09 21:46:00,A,已出货未退款,已提现
718,DD201708167493876566524548785,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-09 21:53:00,A,已出货未退款,已提现
724,DD201708167493876732375105309,4.5,4.5,50g上好佳田园薯片番茄味,2017-01-09 22:06:00,A,已出货未退款,已提现
727,DD201708167493876808544166727,4.5,4.5,600ml脉动青柠,2017-01-09 22:13:00,A,已出货未退款,已提现
739,DD2017060304473852C3E58130350,3.0,3.0,百事可乐500ml,2017-01-09 23:13:00,A,已出货未退款,已提现
743,DD2017060305151453A01B98273D4,4.0,4.0,阿萨姆奶茶,2017-01-09 23:33:00,A,已出货未退款,已提现
746,DD20170603060850510C538C80450,4.0,4.0,阿萨姆奶茶,2017-01-09 23:37:00,A,已出货未退款,已提现
762,DD201708167493878483792850682,1.5,1.5,钙芝奶酪味高钙威化饼干,2017-01-10 00:09:00,A,已出货未退款,已提现
764,DD20170603075457517D27D502A2A,4.0,4.0,脉动,2017-01-10 00:15:00,A,已出货未退款,已提现
771,DD2017060309150812C9972D7D787,15.0,15.0,口味王槟榔（红）,2017-01-10 00:22:00,A,已出货未退款,已提现
777,DD2017081674938799423297747,4.5,4.5,250ml燕塘甜牛奶,2017-01-10 00:34:00,A,已出货未退款,已提现
786,DD20170816749388030145735354,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-10 01:10:00,A,已出货未退款,已提现
790,DD20170816749388056230306838,4.5,4.5,40g双汇玉米热狗肠,2017-01-10 02:30:00,A,已出货未退款,已提现
791,DD201708167493880616044940646,2.5,2.5,30g元朗小蛋卷,2017-01-10 02:42:00,A,已出货未退款,已提现
792,DD201708167493880632800916638,6.5,6.5,430g泰奇八宝粥,2017-01-10 03:46:00,A,已出货未退款,已提现
793,DD201708167493880838664518689,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-10 04:17:00,A,已出货未退款,已提现
794,DD201708167493880922901258224,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 04:32:00,A,已出货未退款,已提现
803,DD201708167493881360925984616,12.0,12.0,330ml伊利畅意乳酸菌原味,2017-01-10 05:41:00,A,已出货未退款,已提现
804,DD201708167493881383318775426,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-10 05:42:00,A,已出货未退款,已提现
816,DD20170603102640653BBC82D071F,3.0,3.0,果粒橙,2017-01-10 07:46:00,A,已出货未退款,已提现
824,DD201708167493882926127836109,4.0,4.0,55g奥利奥原味芝士饼干,2017-01-10 08:06:00,A,已出货未退款,已提现
826,DD2017060310525413383D577A11E,2.0,2.0,鸭翅,2017-01-10 08:15:00,A,已出货未退款,已提现
828,DD201708167493883183300184623,5.5,5.5,55g奥利奥迷你杯夹心小饼干杯装原味,2017-01-10 08:16:00,A,已出货未退款,已提现
829,DD20170816749300895247844424829,4.0,4.0,55g奥利奥原味芝士饼干,2017-01-10 08:26:00,A,已出货未退款,已提现
834,DD201708167493883757458339448,3.0,3.0,250ml维他原味豆奶,2017-01-10 08:50:00,A,已出货未退款,已提现
836,DD201708167493883793893614615,6.0,6.0,330ml伊利畅意乳酸菌原味,2017-01-10 08:55:00,A,已出货未退款,已提现
843,DD201706031124597014EA4642374,3.0,3.0,伊利纯牛奶,2017-01-10 09:20:00,A,已出货未退款,已提现
846,DD2017060311282660C0EDFABDE04,3.0,3.0,卫龙大面筋,2017-01-10 09:45:00,A,已出货未退款,已提现
851,DD201708167493884914566581686,4.5,4.5,40g呀土豆番茄酱味,2017-01-10 10:00:00,A,已出货未退款,已提现
854,DD201708167493885477165481477,7.0,7.0,150g洽洽原香瓜子,2017-01-10 10:06:00,A,已出货未退款,已提现
856,DD201708167493885590539587981,3.5,3.5,85g新麦潮手撕面包（提子味）,2017-01-10 10:10:00,A,已出货未退款,已提现
858,DD201708167493885759538100761,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017-01-10 10:25:00,A,已出货未退款,已提现
859,DD2017060311391118E7B5E8FCB1A,3.0,3.0,雪碧（500ml）,2017-01-10 10:26:00,A,已出货未退款,已提现
864,DD201708167493886328521824012,6.0,6.0,86g合味道海鲜风味,2017-01-10 10:59:00,A,已出货未退款,已提现
869,DD201708167493886653103033139,3.0,3.0,无穷烤鸡小腿（蜂蜜）,2017-01-10 11:37:00,A,已出货未退款,已提现
877,DD20170603123248171089D33781D,3.0,3.0,伊利纯牛奶,2017-01-10 11:51:00,A,已出货未退款,已提现
903,DD2017081816214113A1E3D26918B,2.5,2.5,维他奶,2017-01-10 12:21:00,A,已出货未退款,已提现
910,DD201708167493682779533767317,2.5,2.5,145ml旺仔牛奶盒装,2017-01-10 13:00:00,A,已出货未退款,已提现
911,DD20170527080518159F47248F8A8,2.0,2.0,鸭翅,2017-01-10 13:01:00,A,已出货未退款,已提现
916,DD20170603143608496DC18C58538,4.0,4.0,王老吉（500ml）,2017-01-10 13:18:00,A,已出货未退款,已提现
922,DD201706031439176859885991280,25.0,25.0,芙蓉王,2017-01-10 13:36:00,A,已出货未退款,已提现
929,DD201708167493889101581282178,13.0,13.0,148g富甲一方紫薯仔,2017-01-10 14:16:00,A,已出货未退款,已提现
933,DD2017060314470924F65739777D5,3.5,3.5,统一绿茶,2017-01-10 14:50:00,A,已出货未退款,已提现
935,DD20170816749388946598184841,5.0,5.0,110g顺宝九制话梅,2017-01-10 14:51:00,A,已出货未退款,已提现
937,DD2017060315201110E9451389787,3.0,3.0,百事可乐500ml,2017-01-10 14:55:00,A,已出货未退款,已提现
940,DD20170816749388972559353674,4.5,4.5,52g旺旺仙贝,2017-01-10 14:56:00,A,已出货未退款,已提现
952,DD2017060316005226662D7457BC6,4.0,4.0,营养快线,2017-01-10 15:24:00,A,已出货未退款,已提现
956,DD20170603161956919B1957766CB,3.0,3.0,统一绿茶,2017-01-10 15:34:00,A,已出货未退款,已提现
962,DD201708167493891238278008534,4.5,4.5,250ml燕塘原味酸奶,2017-01-10 15:45:00,A,已出货未退款,已提现
964,DD201708167493891428988848687,5.0,5.0,85g统一老坛酸菜牛肉面,2017-01-10 15:59:00,A,已出货未退款,已提现
971,DD201708167493891910479662284,3.0,3.0,70g乖媳妇野山泡椒凤爪,2017-01-10 16:22:00,A,已出货未退款,已提现
974,DD2017060316244128478B7755317,1.0,1.0,好吃点小饼干,2017-01-10 16:28:00,A,已出货未退款,已提现
980,DD201708167493893084593104145,3.0,3.0,劲仔小鱼（麻辣味）,2017-01-10 16:52:00,A,已出货未退款,已提现
984,DD201708167493893410391965758,1.6,1.6,2g韩国海牌海苔,2017-01-10 17:12:00,A,已出货未退款,已提现
985,DD201708167493893487756705083,5.5,5.5,小茗同学冷泡茶（乳酸菌味）,2017-01-10 17:26:00,A,已出货未退款,已提现
989,DD2017060316433112BECA45FD54C,3.5,3.5,东鹏特饮,2017-01-10 17:31:00,A,已出货未退款,已提现
992,DD201708167493534533892705845,4.0,4.0,55g奥利奥原味芝士饼干,2017-01-10 17:32:00,A,已出货未退款,已提现
993,DD2017060316441157D5088198677,3.0,3.0,统一冰红茶,2017-01-10 17:32:00,A,已出货未退款,已提现
1004,DD2017060317284940AA4D03646C3,3.0,3.0,雪碧（500ml）,2017-01-10 17:36:00,A,已出货未退款,已提现
1009,DD201708167493894870793872156,1.5,1.5,劲仔小鱼,2017-01-10 17:38:00,A,已出货未退款,已提现
1010,DD20170603172937919F38194276C,6.0,6.0,安慕希酸奶,2017-01-10 17:39:00,A,已出货未退款,已提现
1012,DD2017060317293919D63EA6650E0,3.0,3.0,雪碧（500ml）,2017-01-10 17:40:00,A,已出货未退款,已提现
1016,DD2017060317490617DC34CB8D1ED,1.5,1.5,香脆肠,2017-01-10 17:44:00,A,已出货未退款,已提现
1032,DD201708167493896014155042429,6.0,6.0,107g出前一丁桶面酱香牛肉王,2017-01-10 18:14:00,A,已出货未退款,已提现
1038,DD201708167493896359096507431,6.5,6.5,100g果王咸柑桔罐装,2017-01-10 18:28:00,A,已出货未退款,已提现
1040,DD201708167493896893757573686,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 18:49:00,A,已出货未退款,已提现
1049,DD20170603191223531131CA903E1,4.5,4.5,营养快线,2017-01-10 19:13:00,A,已出货未退款,已提现
1052,DD2017060319272563638144C3BBB,6.0,6.0,红牛,2017-01-10 19:16:00,A,已出货未退款,已提现
1058,DD201708167493898105428204886,6.0,6.0,70g乖媳妇野山泡椒凤爪,2017-01-10 19:39:00,A,已出货未退款,已提现
1061,DD2017060319574175E2ABFC7E9A2,4.0,4.0,银鹭八宝粥,2017-01-10 19:47:00,A,已出货未退款,已提现
1072,DD201708167493899839978814244,4.0,4.0,85g新麦潮北海道吐司,2017-01-10 20:10:00,A,已出货未退款,已提现
1073,DD201708167493899889640354036,6.0,6.0,多芙利香草奶油味蛋糕,2017-01-10 20:15:00,A,已出货未退款,已提现
1074,DD2017060320385948A2944E243CC,3.0,3.0,雪碧最新款,2017-01-10 20:16:00,A,已出货未退款,已提现
1081,DD201708167493900204204939245,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017-01-10 20:25:00,A,已出货未退款,已提现
1088,DD201708167493900840281062148,3.0,3.0,250ml维他原味豆奶,2017-01-10 20:52:00,A,已出货未退款,已提现
1089,DD201708167493901345995793374,3.0,3.0,250ml维他柠檬茶,2017-01-10 20:53:00,A,已出货未退款,已提现
1093,DD201708167493901521222984966,5.5,5.5,205g伊利安慕希原味,2017-01-10 21:12:00,A,已出货未退款,已提现
1107,DD201708167493903383944785823,4.5,4.5,250ml燕塘原味酸奶,2017-01-10 21:58:00,A,已出货未退款,已提现
1109,DD201708167493903720895517464,3.6,3.6,32g卫龙亲嘴烧,2017-01-10 22:11:00,A,已出货未退款,已提现
1113,DD201708167493903876053107285,4.5,4.5,600ml脉动青柠,2017-01-10 22:16:00,A,已出货未退款,已提现
1114,DD201706032326186667930596C0C,6.0,6.0,红牛,2017-01-10 22:17:00,A,已出货未退款,已提现
1124,DD2017060407541653E4CFEB3C0D1,4.0,4.0,营养快线,2017-01-10 22:25:00,A,已出货未退款,已提现
1126,DD201708167493904916842719389,4.8,4.8,150抽诗竹竹纤维面巾纸,2017-01-10 22:28:00,A,已出货未退款,已提现
1128,DD201708167493905118320498346,4.5,4.5,52g旺旺仙贝,2017-01-10 22:39:00,A,已出货未退款,已提现
1129,DD201706040800274205F9517C695,2.5,2.5,伊利优酸乳,2017-01-10 22:42:00,A,已出货未退款,已提现
1135,DD201708167493905775601073516,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017-01-10 23:04:00,A,已出货未退款,已提现
1143,DD201708167493907259419803965,4.5,4.5,40g上好佳日式鱼果,2017-01-10 23:35:00,A,已出货未退款,已提现
1146,DD20170604080128668BFB8C7F68D,3.5,3.5,维他奶,2017-01-10 23:48:00,A,已出货未退款,已提现
