,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
324,DD201708167493530494747287176,12.0,12.0,巧克力奶油味蛋糕,2017-01-08 21:57:00,B,已出货未退款,已提现
325,DD2017081709275986FC4E8AF8842,3.0,3.0,怡宝纯净水,2017-01-08 21:57:00,B,已出货未退款,已提现
331,DD201708167493851519528963645,5.0,5.0,500ml统一阿萨姆奶茶,2017-01-08 22:47:00,B,已出货未退款,已提现
340,DD201708167493852778067837835,4.0,4.0,85g新麦潮北海道吐司,2017-01-08 23:22:00,B,已出货未退款,已提现
341,DD201708167493734245856774657,3.5,3.5,250ml燕塘原味酸奶,2017-01-08 23:23:00,B,已出货未退款,已提现
342,DD20170817095816649DDB43B1EFD,3.5,3.5,芬达330ml,2017-01-08 23:23:00,B,已出货未退款,已提现
344,DD201708167493733927279801038,3.5,3.5,85g新麦潮手撕面包（提子味）,2017-01-08 23:26:00,B,已出货未退款,已提现
345,DD20170817100354192E62848F661,3.0,3.0,怡宝纯净水,2017-01-08 23:26:00,B,已出货未退款,已提现
349,DD20170816749385312346742734,2.5,2.5,250ml维他奶巧克力味,2017-01-08 23:34:00,B,已出货未退款,已提现
353,DD2017081710050945C0500C3E615,3.0,3.0,怡宝纯净水,2017-01-09 00:05:00,B,已出货未退款,已提现
357,DD201708171005481749D907ABC99,3.5,3.5,果粒橙,2017-01-09 00:07:00,B,已出货未退款,已提现
358,DD201708171031191556090430FA7,4.0,4.0,王老吉（罐）,2017-01-09 00:09:00,B,已出货未退款,已提现
365,DD201708167493854903105300404,4.5,4.5,500ml加多宝,2017-01-09 01:24:00,B,已出货未退款,已提现
367,DD2017081710440867F81E9748BFA,3.5,3.5,伊利纯牛奶,2017-01-09 02:43:00,B,已出货未退款,已提现
370,DD2017081711510061E174474CE3B,3.5,3.5,伊利纯牛奶,2017-01-09 02:44:00,B,已出货未退款,已提现
372,DD2017081711515557018C2B93CFC,5.0,5.0,王老吉（500ml）,2017-01-09 03:08:00,B,已出货未退款,已提现
374,DD2017081712370242705CD880C5D,3.0,3.0,可口可乐最新款,2017-01-09 03:10:00,B,已出货未退款,已提现
380,DD201708167493733659170397764,3.5,3.5,250ml维他奶巧克力味,2017-01-09 03:26:00,B,已出货未退款,已提现
381,DD2017081712511826DC9B174EE8F,3.5,3.5,伊利优酸乳,2017-01-09 03:26:00,B,已出货未退款,已提现
389,DD2017081713134642CF0B62F4F42,3.5,3.5,伊利纯牛奶,2017-01-09 05:07:00,B,已出货未退款,已提现
394,DD2017081713265332DF09915E702,4.0,4.0,熊字饼,2017-01-09 07:36:00,B,已出货未退款,已提现
397,DD201708167493857078682752674,4.5,4.5,250ml燕塘甜牛奶,2017-01-09 07:38:00,B,已出货未退款,已提现
400,DD2017081713291444B727F4EC53C,3.0,3.0,怡宝纯净水,2017-01-09 07:41:00,B,已出货未退款,已提现
402,DD2017081713355072C00F356CE1D,3.0,3.0,雪碧最新款,2017-01-09 07:42:00,B,已出货未退款,已提现
404,DD2017081713394332418BC08C4A4,3.0,3.0,怡宝纯净水,2017-01-09 07:43:00,B,已出货未退款,已提现
410,DD20170817135804705F78B5C8874,3.0,3.0,怡宝纯净水,2017-01-09 08:14:00,B,已出货未退款,已提现
412,DD2017081714040114684DF9E7BE0,1.5,1.5,小鱼仔,2017-01-09 08:17:00,B,已出货未退款,已提现
416,DD201708167493858139672677277,4.5,4.5,250ml燕塘甜牛奶,2017-01-09 08:20:00,B,已出货未退款,已提现
427,DD201708171409347609003851995,3.0,3.0,怡宝纯净水,2017-01-09 09:29:00,B,已出货未退款,已提现
429,DD201708167493733313354449018,3.5,3.5,维他原味豆奶,2017-01-09 09:32:00,B,已出货未退款,已提现
430,DD2017081714103255D7864D36E12,3.0,3.0,雪碧最新款,2017-01-09 09:32:00,B,已出货未退款,已提现
431,DD201708167493859927968288546,4.5,4.5,40g呀土豆薯片滋香烤鸡味,2017-01-09 09:33:00,B,已出货未退款,已提现
435,DD2017081714163186B8C522391C4,3.0,3.0,怡宝纯净水,2017-01-09 09:46:00,B,已出货未退款,已提现
438,DD201708167493861031773850273,4.0,4.0,85g新麦潮北海道吐司,2017-01-09 10:05:00,B,已出货未退款,已提现
441,DD201708167493861243928726428,2.0,2.0,85g新麦潮手撕面包（提子味）,2017-01-09 10:17:00,B,已出货未退款,已提现
443,DD201708171427338761848617C07,3.0,3.0,怡宝纯净水,2017-01-09 10:29:00,B,已出货未退款,已提现
455,DD2017081714501579233755F0256,3.0,3.0,怡宝纯净水,2017-01-09 12:00:00,B,已出货未退款,已提现
457,DD201708171510493537F00E21EA2,4.0,4.0,果粒橙,2017-01-09 12:02:00,B,已出货未退款,已提现
459,DD2017081715171196BD4B848C99E,5.0,5.0,王老吉（500ml）,2017-01-09 12:03:00,B,已出货未退款,已提现
463,DD2017081715251428917DF17FC80,5.0,5.0,阿萨姆奶茶,2017-01-09 12:04:00,B,已出货未退款,已提现
465,DD2017081715354185F8CF9F3C076,3.0,3.0,怡宝纯净水,2017-01-09 12:06:00,B,已出货未退款,已提现
467,DD2017081715385020F948EE89773,4.0,4.0,果粒橙,2017-01-09 12:09:00,B,已出货未退款,已提现
469,DD201708171547223886228F19E87,4.0,4.0,统一冰红茶,2017-01-09 12:11:00,B,已出货未退款,已提现
472,DD2017081715511917B81E8CD9046,4.0,4.0,果粒橙,2017-01-09 12:15:00,B,已出货未退款,已提现
475,DD201708167493531075836260629,4.5,4.5,500ml农夫果园 (芒果+菠萝+番石榴),2017-01-09 12:17:00,B,已出货未退款,已提现
476,DD20170817162830300FD7D53AAD1,3.0,3.0,怡宝纯净水,2017-01-09 12:17:00,B,已出货未退款,已提现
477,DD201708167493531079587921124,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-09 12:18:00,B,已出货未退款,已提现
478,DD20170817171132941891322EDD3,3.0,3.0,怡宝纯净水,2017-01-09 12:18:00,B,已出货未退款,已提现
482,DD20170817173338876C5F4F6E938,3.5,3.5,统一绿茶,2017-01-09 12:20:00,B,已出货未退款,已提现
483,DD20170817173542126C15C437DFA,3.0,3.0,怡宝纯净水,2017-01-09 12:21:00,B,已出货未退款,已提现
486,DD2017081717413540C55BAD46BAA,3.0,3.0,怡宝纯净水,2017-01-09 12:23:00,B,已出货未退款,已提现
488,DD20170816749300805891982648565,0.8,0.8,20g咪咪虾条马来西亚风味,2017-01-09 12:29:00,B,已出货未退款,已提现
492,DD201708167493863352804342815,4.0,4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-09 12:54:00,B,已出货未退款,已提现
495,DD20170817174313659412D976C89,3.5,3.5,果粒橙,2017-01-09 13:08:00,B,已出货未退款,已提现
500,DD20170817174316588D303DB4778,3.0,3.0,怡宝纯净水,2017-01-09 13:22:00,B,已出货未退款,已提现
510,DD20170817174405591B4DF025C19,3.5,3.5,统一冰红茶,2017-01-09 13:36:00,B,已出货未退款,已提现
515,DD2017081717460340BB4EA1726A4,3.0,3.0,雪碧最新款,2017-01-09 13:49:00,B,已出货未退款,已提现
518,DD2017081717465276C877AC07844,3.0,3.0,雪碧最新款,2017-01-09 13:59:00,B,已出货未退款,已提现
523,DD2017081717512073B5F37AB9A85,3.0,3.0,雪碧最新款,2017-01-09 14:14:00,B,已出货未退款,已提现
526,DD201708167493865835760405829,4.0,4.0,40g乐事美国经典原味,2017-01-09 14:41:00,B,已出货未退款,已提现
527,DD201708167493733249398527457,3.5,3.5,250ml维他原味豆奶,2017-01-09 14:46:00,B,已出货未退款,已提现
528,DD20170817175458351274BA2BBAD,3.0,3.0,雪碧最新款,2017-01-09 14:46:00,B,已出货未退款,已提现
530,DD2017081718440973022298A5C51,3.5,3.5,雪碧330ml,2017-01-09 14:47:00,B,已出货未退款,已提现
531,DD20170817193549133F922A4F3F9,4.5,4.5,阿萨姆奶茶,2017-01-09 14:48:00,B,已出货未退款,已提现
534,DD20170817194342433DAF7DF33A5,5.0,5.0,王老吉（500ml）,2017-01-09 14:50:00,B,已出货未退款,已提现
537,DD201708167493865930376783449,2.0,2.0,30g无穷农场盐_鸡蛋,2017-01-09 14:51:00,B,已出货未退款,已提现
540,DD201708167493531371423139891,9.0,9.0,480ml小茗同学冷泡青柠红茶,2017-01-09 14:56:00,B,已出货未退款,已提现
541,DD20170817194839409A005B9BBA0,3.5,3.5,雪碧最新款,2017-01-09 14:56:00,B,已出货未退款,已提现
542,DD2017081719500725569D415CEBD,3.0,3.0,怡宝纯净水,2017-01-09 14:58:00,B,已出货未退款,已提现
550,DD20170817195258352EF688FAD62,2.0,2.0,鸭翅,2017-01-09 15:17:00,B,已出货未退款,已提现
553,DD201708167493866764957786404,2.5,2.5,250ml统一麦香奶茶,2017-01-09 15:25:00,B,已出货未退款,已提现
555,DD201708171956345694BD68662B0,4.5,4.5,阿萨姆奶茶,2017-01-09 15:30:00,B,已出货未退款,已提现
564,DD201708167493867637174551419,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-09 15:46:00,B,已出货未退款,已提现
566,DD20170816749300874601411210174,2.0,2.0,85g新麦潮北海道吐司,2017-01-09 15:54:00,B,已出货未退款,已提现
569,DD201708167493867992793322852,4.5,4.5,40g呀土豆薯片滋香烤鸡味,2017-01-09 16:01:00,B,已出货未退款,已提现
580,DD201708167493868704070920114,4.5,4.5,40g呀土豆番茄酱味,2017-01-09 16:42:00,B,已出货未退款,已提现
585,DD201708167493868971240183025,10.5,10.5,85g新麦潮手撕面包（提子味）,2017-01-09 16:56:00,B,已出货未退款,已提现
589,DD2017060217180753C65212DA88E,4.0,4.0,银鹭八宝粥,2017-01-09 17:16:00,B,已出货未退款,已提现
595,DD20170817202740698B7F5C27F3A,4.0,4.0,熊字饼,2017-01-09 17:26:00,B,已出货未退款,已提现
609,DD20170602173537865F1D4A590B1,4.5,4.5,营养快线,2017-01-09 17:41:00,B,已出货未退款,已提现
614,DD2017060217363526FBA02898449,3.0,3.0,熊字饼,2017-01-09 17:46:00,B,已出货未退款,已提现
635,DD201708167493872045424754789,5.5,5.5,70g乐事薯片（黄瓜味）,2017-01-09 18:32:00,B,已出货未退款,已提现
646,DD20170818003326971DD02819F0D,3.0,3.0,怡宝纯净水,2017-01-09 20:51:00,B,已出货未退款,已提现
651,DD201708180048003583678BDED14,3.0,3.0,雪碧最新款,2017-01-09 20:56:00,B,已出货未退款,已提现
652,DD2017081801202539DC2D83C499B,3.0,3.0,怡宝纯净水,2017-01-09 20:57:00,B,已出货未退款,已提现
658,DD20170818022030131C898EDD2D9,3.0,3.0,怡宝纯净水,2017-01-09 21:00:00,B,已出货未退款,已提现
664,DD2017081803440890649DB797AE6,3.0,3.0,怡宝纯净水,2017-01-09 21:03:00,B,已出货未退款,已提现
666,DD2017081805161556CBA192251E1,4.0,4.0,果粒橙,2017-01-09 21:04:00,B,已出货未退款,已提现
671,DD2017081805492051E8D32513BCE,5.0,5.0,王老吉（500ml）,2017-01-09 21:08:00,B,已出货未退款,已提现
675,DD2017081807433356FE6BEA8785A,4.5,4.5,阿萨姆奶茶,2017-01-09 21:10:00,B,已出货未退款,已提现
678,DD20170818075838243C69E50A11F,4.5,4.5,阿萨姆奶茶,2017-01-09 21:12:00,B,已出货未退款,已提现
683,DD20170818081257131A07143CA85,4.5,4.5,阿萨姆奶茶,2017-01-09 21:13:00,B,已出货未退款,已提现
686,DD201708180820592789C1DD6135C,3.0,3.0,怡宝纯净水,2017-01-09 21:14:00,B,已出货未退款,已提现
688,DD2017081808230332359E43E2C53,3.0,3.0,怡宝纯净水,2017-01-09 21:16:00,B,已出货未退款,已提现
691,DD2017081808332326C422CE6165F,3.0,3.0,怡宝纯净水,2017-01-09 21:18:00,B,已出货未退款,已提现
693,DD201708167493875682476978536,3.0,3.0,85g新麦潮北海道吐司,2017-01-09 21:20:00,B,已出货未退款,已提现
701,DD20170818084938697FEE747AA6B,3.0,3.0,怡宝纯净水,2017-01-09 21:27:00,B,已出货未退款,已提现
704,DD201708180936211074A8EFC6295,3.0,3.0,怡宝纯净水,2017-01-09 21:29:00,B,已出货未退款,已提现
706,DD2017081809372994A65C2CC2577,3.0,3.0,怡宝纯净水,2017-01-09 21:31:00,B,已出货未退款,已提现
708,DD201708167493876283034346817,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 21:36:00,B,已出货未退款,已提现
710,DD201708181042131874BB2F068FB,1.5,1.5,香豆干,2017-01-09 21:37:00,B,已出货未退款,已提现
715,DD20170818115354292D822F618B2,5.0,5.0,雪碧（500ml）,2017-01-09 21:46:00,B,已出货未退款,已提现
722,DD2017060304460980FCDE0933E26,4.0,4.0,阿萨姆奶茶,2017-01-09 21:59:00,B,已出货未退款,已提现
731,DD201708167493877072685641188,4.0,4.0,美汁源果粒橙,2017-01-09 22:35:00,B,已出货未退款,已提现
732,DD201708167493877200583544876,4.0,4.0,250ml燕塘原味酸奶,2017-01-09 22:36:00,B,已出货未退款,已提现
740,DD2017081812044871D635CDE61D9,5.0,5.0,雪碧（500ml）,2017-01-09 23:13:00,B,已出货未退款,已提现
744,DD2017081812193487771E5174C0A,3.5,3.5,伊利优酸乳,2017-01-09 23:33:00,B,已出货未退款,已提现
747,DD201708181221506390E27D88420,5.0,5.0,营养快线,2017-01-09 23:37:00,B,已出货未退款,已提现
750,DD2017060210482882D1BCA9FA830,3.0,3.0,可口可乐最新款,2017-01-09 23:45:00,B,已出货未退款,已提现
751,DD20170818122440711474CEC00EA,3.0,3.0,怡宝纯净水,2017-01-09 23:53:00,B,已出货未退款,已提现
753,DD201708167493878067827805729,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017-01-09 23:54:00,B,已出货未退款,已提现
754,DD20170818122848981412CF01666,4.0,4.0,果粒橙,2017-01-09 23:55:00,B,已出货未退款,已提现
772,DD2017081813264992D3B87E53625,3.0,3.0,怡宝纯净水,2017-01-10 00:22:00,B,已出货未退款,已提现
776,DD201708167493879785392252337,3.5,3.5,75g新麦潮天然酵母面包（北海道牛奶风味）,2017-01-10 00:33:00,B,已出货未退款,已提现
778,DD2017060309464563987E99EA455,2.0,2.0,怡宝纯净水,2017-01-10 00:37:00,B,已出货未退款,已提现
780,DD2017060210385519FA4EA6BA210,2.0,2.0,怡宝纯净水,2017-01-10 00:39:00,B,已出货未退款,已提现
781,DD201708167493533359916097257,3.0,3.0,250ml维他奶巧克力味,2017-01-10 00:45:00,B,已出货未退款,已提现
782,DD20170818133425917003ABB8F56,3.0,3.0,怡宝纯净水,2017-01-10 00:45:00,B,已出货未退款,已提现
784,DD201708181405095985BCA07F5A0,3.0,3.0,怡宝纯净水,2017-01-10 00:54:00,B,已出货未退款,已提现
795,DD201708167493533437252464981,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 04:34:00,B,已出货未退款,已提现
796,DD20170818141532774EB180C8CF9,3.0,3.0,怡宝纯净水,2017-01-10 04:34:00,B,已出货未退款,已提现
797,DD2017081674938810311870318,9.0,9.0,40g呀土豆番茄酱味,2017-01-10 05:14:00,B,已出货未退款,已提现
798,DD20170603100355584E4FBE7930B,3.5,3.5,东鹏特饮,2017-01-10 05:15:00,B,已出货未退款,已提现
800,DD2017081814524749511712839F1,3.0,3.0,芬达330ml,2017-01-10 05:32:00,B,已出货未退款,已提现
809,DD20170818145503106C1568DAA1B,3.5,3.5,雪碧330ml,2017-01-10 06:44:00,B,已出货未退款,已提现
811,DD20170816749388185075707732,1.6,1.6,2g韩国海牌海苔,2017-01-10 07:14:00,B,已出货未退款,已提现
813,DD2017081814551613D7DFFCDFC3F,3.0,3.0,芬达330ml,2017-01-10 07:43:00,B,已出货未退款,已提现
827,DD2017081815091529F09CF0BB1DA,5.0,5.0,阿萨姆奶茶,2017-01-10 08:15:00,B,已出货未退款,已提现
830,DD201708167493883359333295523,4.5,4.5,480ml小茗同学冷泡青柠红茶,2017-01-10 08:35:00,B,已出货未退款,已提现
839,DD20170818151335484C01B50EA05,5.0,5.0,阿萨姆奶茶,2017-01-10 09:15:00,B,已出货未退款,已提现
840,DD201708167493533581201393349,3.5,3.5,可乐可乐,2017-01-10 09:15:00,B,已出货未退款,已提现
847,DD2017081815322715A8F3A0EC3C7,5.0,5.0,营养快线,2017-01-10 09:45:00,B,已出货未退款,已提现
849,DD201708167493731398824046614,3.5,3.5,250ml燕塘红枣牛奶,2017-01-10 09:49:00,B,已出货未退款,已提现
850,DD201708181536271803A9AB9E980,3.0,3.0,怡宝纯净水,2017-01-10 09:49:00,B,已出货未退款,已提现
860,DD20170818153906291810C36F2D0,3.0,3.0,怡宝纯净水,2017-01-10 10:26:00,B,已出货未退款,已提现
862,DD2017081815393852FB060ADE008,3.5,3.5,统一绿茶,2017-01-10 10:45:00,B,已出货未退款,已提现
870,DD201708167493533775797821637,7.0,7.0,160g盼盼手撕面包,2017-01-10 11:39:00,B,已出货未退款,已提现
871,DD2017081815560412D3FE2FD2F88,3.0,3.0,怡宝纯净水,2017-01-10 11:39:00,B,已出货未退款,已提现
873,DD201708167493533885812724413,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-10 11:47:00,B,已出货未退款,已提现
874,DD201708181557385239850B3E4FE,4.0,4.0,王老吉（罐）,2017-01-10 11:47:00,B,已出货未退款,已提现
878,DD20170818160209108302F842FE9,3.0,3.0,怡宝纯净水,2017-01-10 11:51:00,B,已出货未退款,已提现
880,DD201708167493533945719237577,6.0,6.0,86g合味道海鲜风味,2017-01-10 11:52:00,B,已出货未退款,已提现
881,DD201708181602533045023E5A4B5,3.0,3.0,怡宝纯净水,2017-01-10 11:52:00,B,已出货未退款,已提现
884,DD2017081816055784ED8289F44FC,3.5,3.5,可口可乐330ml,2017-01-10 12:02:00,B,已出货未退款,已提现
887,DD201708181606311754F71663058,3.0,3.0,伊利优酸乳,2017-01-10 12:04:00,B,已出货未退款,已提现
890,DD2017060313220911902D4C94354,15.0,15.0,口味王槟榔（红）,2017-01-10 12:09:00,B,已出货未退款,已提现
894,DD201708167493887378012137721,7.0,7.0,80g马赛克香蕉片,2017-01-10 12:11:00,B,已出货未退款,已提现
895,DD20170603134014541EFD3F5E424,1.5,1.5,香脆肠,2017-01-10 12:12:00,B,已出货未退款,已提现
904,DD201706031345536320066D19802,2.0,2.0,凤爪,2017-01-10 12:21:00,B,已出货未退款,已提现
914,DD201706031427185821AB732C159,2.0,2.0,怡宝纯净水,2017-01-10 13:10:00,B,已出货未退款,已提现
921,DD201708167493888260111017299,7.0,7.0,80g马赛克香蕉片,2017-01-10 13:35:00,B,已出货未退款,已提现
924,DD20170816749388844805776739,3.0,3.0,40g双汇玉米热狗肠,2017-01-10 13:49:00,B,已出货未退款,已提现
926,DD2017081674938889902514229,3.6,3.6,32g卫龙亲嘴烧,2017-01-10 13:57:00,B,已出货未退款,已提现
