,订单号,应付金额,实际金额,商品,支付时间,地点,状态,提现
242,DD201708167493847144280155851,11.8,11.8,37.5g费列罗榛果威化巧克力3颗,2017-01-08 20:24:00,C,已出货未退款,已提现
262,DD2017081700065634C2F3D589F36,4.5,4.5,脉动,2017-01-08 20:49:00,C,已出货未退款,已提现
264,DD201708170008509081FAB5D2594,6.0,6.0,红牛,2017-01-08 20:52:00,C,已出货未退款,已提现
273,DD20170601231519540A634B7D900,4.0,4.0,阿萨姆奶茶,2017-01-08 21:03:00,C,已出货未退款,已提现
286,DD2017060123544189E794D0B3241,3.5,3.5,东鹏特饮,2017-01-08 21:16:00,C,已出货未退款,已提现
294,DD201706020009471054107347700,3.5,3.5,统一绿茶,2017-01-08 21:21:00,C,已出货未退款,已提现
309,DD201708167493849876411665177,10.0,10.0,味之不规则饼干（芝士味）,2017-01-08 21:34:00,C,已出货未退款,已提现
319,DD2017081708333877766276AB4D8,5.0,5.0,脉动,2017-01-08 21:55:00,C,已出货未退款,已提现
322,DD201708170834274125AF3586DFE,5.0,5.0,脉动,2017-01-08 21:56:00,C,已出货未退款,已提现
328,DD201708167493850983105083982,6.0,6.0,330ml伊利畅意乳酸菌原味,2017-01-08 22:03:00,C,已出货未退款,已提现
335,DD201708167493852149650990981,6.0,6.0,86g合味道海鲜风味,2017-01-08 22:55:00,C,已出货未退款,已提现
378,DD201708167493855263021279767,6.0,6.0,无穷烤鸡小腿（蜂蜜）,2017-01-09 03:23:00,C,已出货未退款,已提现
383,DD201708167493855815553142267,1.8,1.8,32g卫龙亲嘴烧,2017-01-09 04:39:00,C,已出货未退款,已提现
384,DD201708167493855955969239716,4.0,4.0,145ml旺仔牛奶盒装,2017-01-09 04:41:00,C,已出货未退款,已提现
385,DD20170816749385605414812746,4.5,4.5,250ml燕塘红枣牛奶,2017-01-09 04:42:00,C,已出货未退款,已提现
386,DD201708167493856268449632049,4.5,4.5,加多宝,2017-01-09 04:49:00,C,已出货未退款,已提现
388,DD201708167493856598539837215,14.0,14.0,维他原味豆奶,2017-01-09 05:03:00,C,已出货未退款,已提现
396,DD201708167493857001351572754,3.8,3.8,110g顺宝九制话梅,2017-01-09 07:37:00,C,已出货未退款,已提现
401,DD2017060211215458BF6E3A557AD,3.0,3.0,可口可乐（500ml）,2017-01-09 07:41:00,C,已出货未退款,已提现
405,DD20170602113317784FA429229BD,3.0,3.0,印尼芝士威化饼干,2017-01-09 07:43:00,C,已出货未退款,已提现
411,DD201706021148453682AE7EC4B6E,2.0,2.0,怡宝纯净水,2017-01-09 08:14:00,C,已出货未退款,已提现
413,DD2017060211532087CB0A3E0592E,3.5,3.5,冰糖雪梨,2017-01-09 08:17:00,C,已出货未退款,已提现
418,DD201708167493858245853502689,1.5,1.5,40g双汇玉米热狗肠,2017-01-09 08:33:00,C,已出货未退款,已提现
425,DD201708167493859548773327749,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017-01-09 09:26:00,C,已出货未退款,已提现
432,DD2017060213073877913FA669F6D,3.0,3.0,果粒橙,2017-01-09 09:35:00,C,已出货未退款,已提现
449,DD201708167493861657330140442,10.0,10.0,30g无穷农场盐_鸡蛋,2017-01-09 11:20:00,C,已出货未退款,已提现
453,DD201708167493862018936055551,6.5,6.5,250ml红牛,2017-01-09 11:56:00,C,已出货未退款,已提现
484,DD2017060213124430B23F6C96C6D,4.0,4.0,乐虎（380ml）,2017-01-09 12:21:00,C,已出货未退款,已提现
487,DD201708167493862809176786449,6.0,6.0,13g无穷烤鸡小腿蜂蜜味,2017-01-09 12:27:00,C,已出货未退款,已提现
498,DD201708167493863780790965946,0.8,0.8,咪咪虾条马来西亚风味,2017-01-09 13:16:00,C,已出货未退款,已提现
501,DD201708167493954575830984555,2.0,2.0,怡宝纯净水,2017-01-09 13:22:00,C,已出货未退款,已提现
503,DD20170816749300834050241899408,9.0,9.0,180ml雀巢咖啡罐装,2017-01-09 13:25:00,C,已出货未退款,已提现
504,DD201708167493863955668869239,4.5,4.5,65g卫龙亲嘴豆皮,2017-01-09 13:26:00,C,已出货未退款,已提现
514,DD201708167493864981038824866,3.6,3.6,32g卫龙亲嘴烧红烧牛肉味,2017-01-09 13:48:00,C,已出货未退款,已提现
516,DD201706021423251495733963127,3.0,3.0,雪碧（500ml）,2017-01-09 13:49:00,C,已出货未退款,已提现
519,DD20170602143036551FE24A44856,4.0,4.0,脉动,2017-01-09 13:59:00,C,已出货未退款,已提现
520,DD20170816749300865939799861159,2.8,2.8,250ml维他原味豆奶,2017-01-09 14:02:00,C,已出货未退款,已提现
532,DD201708167493531313434854226,7.0,7.0,600ml可口可乐,2017-01-09 14:48:00,C,已出货未退款,已提现
533,DD2017060215051174A1BFFD87EE2,4.0,4.0,阿萨姆奶茶,2017-01-09 14:48:00,C,已出货未退款,已提现
535,DD201708167493733189282884895,3.5,3.5,250ml燕塘原味酸奶,2017-01-09 14:50:00,C,已出货未退款,已提现
536,DD201706021516486541B4C7D2759,6.0,6.0,红牛,2017-01-09 14:50:00,C,已出货未退款,已提现
538,DD2017060215251743CB5389A054D,1.5,1.5,香脆肠,2017-01-09 14:55:00,C,已出货未退款,已提现
543,DD2017060215480963577C03BA5EC,4.5,4.5,好吃点,2017-01-09 14:58:00,C,已出货未退款,已提现
544,DD201708167493866112929989182,7.0,7.0,泰奇八宝粥,2017-01-09 14:59:00,C,已出货未退款,已提现
556,DD201708167493866943467351314,4.5,4.5,50g上好佳日式鱼果,2017-01-09 15:31:00,C,已出货未退款,已提现
558,DD201708167493954745592471385,1.0,1.0,康师傅矿泉水,2017-01-09 15:32:00,C,已出货未退款,已提现
562,DD201708167493867512844504474,2.5,2.5,145ml旺仔牛奶盒装,2017-01-09 15:39:00,C,已出货未退款,已提现
568,DD201708167493867792517154994,0.0,0.0,110g顺宝九制话梅,2017-01-09 15:56:00,C,已出货未退款,已提现
586,DD201708167493868999280711579,5.5,5.5,145g果王迷你山楂包装,2017-01-09 17:11:00,C,已出货未退款,已提现
596,DD201708167493869520255840983,4.5,4.5,燕塘原味酸奶,2017-01-09 17:27:00,C,已出货未退款,已提现
602,DD2017060217253846985A0259C24,4.0,4.0,营养快线,2017-01-09 17:34:00,C,已出货未退款,已提现
603,DD201708167493870170009642321,2.5,2.5,30g无穷农场盐_鸡蛋,2017-01-09 17:35:00,C,已出货未退款,已提现
607,DD201708167493531562515888371,3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017-01-09 17:40:00,C,已出货未退款,已提现
608,DD20170602172716891B181F99563,4.0,4.0,营养快线,2017-01-09 17:40:00,C,已出货未退款,已提现
610,DD20170602173306287DABE35220C,3.0,3.0,熊字饼,2017-01-09 17:41:00,C,已出货未退款,已提现
615,DD2017060217371216157171D9BD1,2.0,2.0,怡宝纯净水,2017-01-09 17:46:00,C,已出货未退款,已提现
617,DD2017060217382410B09252A6AD8,25.0,25.0,芙蓉王,2017-01-09 17:47:00,C,已出货未退款,已提现
619,DD20170602175335816D381DF3964,4.0,4.0,营养快线,2017-01-09 17:48:00,C,已出货未退款,已提现
622,DD201708167493870894921988826,7.0,7.0,泰奇八宝粥,2017-01-09 17:53:00,C,已出货未退款,已提现
631,DD201708167493871581209445302,10.0,10.0,37.5g费列罗榛果威化巧克力3颗,2017-01-09 18:17:00,C,已出货未退款,已提现
638,DD20170816749300889102702083177,4.0,4.0,250ml燕塘甜牛奶,2017-01-09 18:36:00,C,已出货未退款,已提现
641,DD20170602184711436958DD2176B,3.5,3.5,东鹏特饮,2017-01-09 18:51:00,C,已出货未退款,已提现
648,DD201708167493874584508856547,2.5,2.5,30g元朗小蛋卷,2017-01-09 20:52:00,C,已出货未退款,已提现
654,DD201708167493874865465916178,1.5,1.5,劲仔小鱼（麻辣味）,2017-01-09 20:58:00,C,已出货未退款,已提现
657,DD2017060220392047F7F21C3A972,2.0,2.0,鸭翅,2017-01-09 20:59:00,C,已出货未退款,已提现
659,DD2017060220492185427E083267B,4.0,4.0,阿萨姆奶茶,2017-01-09 21:00:00,C,已出货未退款,已提现
660,DD201706022051233804C2E64E23E,4.5,4.5,银鹭八宝粥,2017-01-09 21:01:00,C,已出货未退款,已提现
662,DD2017081803421157DDEA4045FF9,4.0,4.0,东鹏特饮,2017-01-09 21:02:00,C,已出货未退款,已提现
668,DD20170816749387501057550373,7.0,7.0,泰奇八宝粥,2017-01-09 21:06:00,C,已出货未退款,已提现
684,DD201708167493345013311091832,3.0,3.0,250ml维他原味豆奶,2017-01-09 21:13:00,C,已出货未退款,已提现
685,DD2017060300231217057F39E201D,1.0,1.0,香豆干,2017-01-09 21:13:00,C,已出货未退款,已提现
687,DD20170603010527883C5F4591A7A,2.0,2.0,怡宝纯净水,2017-01-09 21:14:00,C,已出货未退款,已提现
689,DD20170603010725791C073FC98C0,3.0,3.0,雪碧（500ml）,2017-01-09 21:16:00,C,已出货未退款,已提现
694,DD20170818083904741E6C79507B7,4.5,4.5,脉动,2017-01-09 21:22:00,C,已出货未退款,已提现
699,DD201708167493875817037172891,5.0,5.0,500ml统一阿萨姆奶茶,2017-01-09 21:25:00,C,已出货未退款,已提现
711,DD201708167493876353091909391,14.0,14.0,68g好丽友巧克力派2枚,2017-01-09 21:38:00,C,已出货未退款,已提现
713,DD20170818105200997C9B28CFA91,4.5,4.5,脉动,2017-01-09 21:39:00,C,已出货未退款,已提现
742,DD201708167493877791711822414,3.0,3.0,85g新麦潮手撕面包（提子味）,2017-01-09 23:26:00,C,已出货未退款,已提现
748,DD2017060306230824DCF2147175B,6.0,6.0,红牛,2017-01-09 23:37:00,C,已出货未退款,已提现
749,DD201708167493877890520656448,7.0,7.0,维他柠檬茶,2017-01-09 23:43:00,C,已出货未退款,已提现
757,DD2017081812364457029208FF1F1,5.0,5.0,脉动,2017-01-09 23:56:00,C,已出货未退款,已提现
759,DD20170816749387819716031512,3.0,3.0,250ml维他原味豆奶,2017-01-09 23:57:00,C,已出货未退款,已提现
766,DD2017060309123955B79CD770EE6,1.0,1.0,好吃点小饼干,2017-01-10 00:16:00,C,已出货未退款,已提现
773,DD201708167493879489161817317,3.2,3.2,20g马来西亚风味咪咪蟹味粒0219,2017-01-10 00:25:00,C,已出货未退款,已提现
787,DD201708167493880384685259768,6.0,6.0,86g合味道浓猪骨味,2017-01-10 01:23:00,C,已出货未退款,已提现
788,DD201708167493880487527079887,4.5,4.5,250ml燕塘原味酸奶,2017-01-10 01:28:00,C,已出货未退款,已提现
802,DD201708167493881168732915938,1.6,1.6,20g咪咪虾条马来西亚风味,2017-01-10 05:40:00,C,已出货未退款,已提现
806,DD201708167493881649630665171,1.5,1.5,45g双汇泡面拍挡,2017-01-10 05:54:00,C,已出货未退款,已提现
817,DD20170818150149184AA3562F0AC,5.0,5.0,脉动,2017-01-10 07:46:00,C,已出货未退款,已提现
831,DD201708167493883452451377261,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017-01-10 08:45:00,C,已出货未退款,已提现
838,DD20170816749388406481654661,2.4,2.4,咪咪虾条马来西亚风味,2017-01-10 09:14:00,C,已出货未退款,已提现
842,DD201708167493884256502204192,4.5,4.5,500ml加多宝,2017-01-10 09:16:00,C,已出货未退款,已提现
844,DD2017081815165915A60D3CA7C2F,5.0,5.0,脉动,2017-01-10 09:20:00,C,已出货未退款,已提现
852,DD201708167493885036770336597,6.0,6.0,85g新麦潮手撕面包（提子味）,2017-01-10 10:02:00,C,已出货未退款,已提现
853,DD201708167493885278476122124,6.5,6.5,83g汤达人酸辣豚骨拉面,2017-01-10 10:04:00,C,已出货未退款,已提现
855,DD201708167493885573002656806,4.5,4.5,65g卫龙亲嘴豆皮,2017-01-10 10:08:00,C,已出货未退款,已提现
857,DD201708167493885721927761776,3.6,3.6,32g卫龙亲嘴烧,2017-01-10 10:13:00,C,已出货未退款,已提现
861,DD201708167493886182068429302,3.5,3.5,70g乖媳妇野山泡椒凤爪,2017-01-10 10:42:00,C,已出货未退款,已提现
863,DD201708167493954798957155516,4.0,4.0,脉动,2017-01-10 10:45:00,C,已出货未退款,已提现
867,DD201708167493668946745345978,1.6,1.6,韩国海牌海苔,2017-01-10 11:21:00,C,已出货未退款,已提现
879,DD2017060312284022CF1DBA028FF,3.5,3.5,东鹏特饮,2017-01-10 11:51:00,C,已出货未退款,已提现
885,DD201706031255558697F25D10595,4.0,4.0,脉动,2017-01-10 12:02:00,C,已出货未退款,已提现
892,DD201708167493534209064203286,5.5,5.5,430g泰奇八宝粥,2017-01-10 12:10:00,C,已出货未退款,已提现
893,DD20170818161015796D8ED398F96,3.0,3.0,怡宝纯净水,2017-01-10 12:10:00,C,已出货未退款,已提现
896,DD20170818161546729E515FEA4FD,4.0,4.0,果粒橙,2017-01-10 12:12:00,C,已出货未退款,已提现
897,DD201708181618401516BCA31E42B,4.0,4.0,统一冰红茶,2017-01-10 12:13:00,C,已出货未退款,已提现
899,DD20170818161943106D694D5C7F0,4.0,4.0,果粒橙,2017-01-10 12:14:00,C,已出货未退款,已提现
912,DD201708181622234031EB4434272,4.0,4.0,王老吉（罐）,2017-01-10 13:01:00,C,已出货未退款,已提现
915,DD2017081816240138DA03479DC2C,4.0,4.0,果粒橙,2017-01-10 13:10:00,C,已出货未退款,已提现
917,DD201708181624302034A4BEF7B3F,4.0,4.0,果粒橙,2017-01-10 13:18:00,C,已出货未退款,已提现
919,DD20170818162638383E67555E86C,4.0,4.0,统一冰红茶,2017-01-10 13:29:00,C,已出货未退款,已提现
923,DD2017081816324796865BC112BE8,5.0,5.0,脉动,2017-01-10 13:36:00,C,已出货未退款,已提现
927,DD20170818163816850412D64F32B,3.0,3.0,怡宝纯净水,2017-01-10 14:05:00,C,已出货未退款,已提现
939,DD2017081817023511C60D54E061C,3.0,3.0,怡宝纯净水,2017-01-10 14:55:00,C,已出货未退款,已提现
942,DD201708167493534319871783933,2.5,2.5,85g新麦潮北海道吐司,2017-01-10 15:06:00,C,已出货未退款,已提现
943,DD2017081817041815CB134CC6D90,5.0,5.0,营养快线,2017-01-10 15:06:00,C,已出货未退款,已提现
944,DD201708167493889732831235863,4.0,4.0,盼盼手撕面包,2017-01-10 15:08:00,C,已出货未退款,已提现
945,DD201708167493730690734552231,3.5,3.5,250ML东鹏特饮,2017-01-10 15:09:00,C,已出货未退款,已提现
946,DD201708181706181488EF359FB5A,5.0,5.0,脉动,2017-01-10 15:09:00,C,已出货未退款,已提现
948,DD201708167493889805786660109,3.0,3.0,250ml维他柠檬茶,2017-01-10 15:10:00,C,已出货未退款,已提现
954,DD201708167493890450735241558,6.5,6.5,430g泰奇八宝粥,2017-01-10 15:25:00,C,已出货未退款,已提现
958,DD20170818172855368C04135A93C,2.0,2.0,鸭翅,2017-01-10 15:34:00,C,已出货未退款,已提现
966,DD201708167493534396581348391,4.5,4.5,80g香飘飘椰果奶茶麦香味,2017-01-10 16:01:00,C,已出货未退款,已提现
967,DD2017081817312558D0B01C472BC,4.0,4.0,统一冰红茶,2017-01-10 16:01:00,C,已出货未退款,已提现
969,DD201708167493891662408252371,4.5,4.5,40g乐事薯片黄瓜味,2017-01-10 16:15:00,C,已出货未退款,已提现
970,DD201708167493891786532029387,4.5,4.5,55g奥利奥原味夹心饼干,2017-01-10 16:20:00,C,已出货未退款,已提现
973,DD201708167493892713637476663,1.6,1.6,2g韩国海牌海苔,2017-01-10 16:27:00,C,已出货未退款,已提现
975,DD20170818173314114F3CB2D3258,3.5,3.5,芬达330ml,2017-01-10 16:28:00,C,已出货未退款,已提现
976,DD201708167493534483454735912,1.8,1.8,32g卫龙亲嘴烧,2017-01-10 16:29:00,C,已出货未退款,已提现
977,DD2017081817333440C913601E686,5.0,5.0,脉动,2017-01-10 16:29:00,C,已出货未退款,已提现
979,DD201708167493892840707211909,8.0,8.0,250ml燕塘红枣牛奶,2017-01-10 16:49:00,C,已出货未退款,已提现
982,DD201708167493893300610049904,12.0,12.0,250ml红牛,2017-01-10 17:10:00,C,已出货未退款,已提现
983,DD201708167493893370858987908,3.0,3.0,12g劲仔小鱼麻辣味,2017-01-10 17:11:00,C,已出货未退款,已提现
987,DD201708167493730643332837321,3.5,3.5,500ml加多宝,2017-01-10 17:30:00,C,已出货未退款,已提现
988,DD20170818173623748CCFC8E9F55,4.0,4.0,果粒橙,2017-01-10 17:30:00,C,已出货未退款,已提现
991,DD2017081817393078564F7D2C7E4,4.0,4.0,果粒橙,2017-01-10 17:31:00,C,已出货未退款,已提现
994,DD201708181742216584C8315F975,3.0,3.0,怡宝纯净水,2017-01-10 17:32:00,C,已出货未退款,已提现
996,DD2017081674937305965386448,3.5,3.5,维他原味豆奶,2017-01-10 17:33:00,C,已出货未退款,已提现
997,DD2017081817452515D79314E76D0,3.0,3.0,怡宝纯净水,2017-01-10 17:33:00,C,已出货未退款,已提现
1000,DD2017081817461969282EE32547A,5.0,5.0,阿萨姆奶茶,2017-01-10 17:34:00,C,已出货未退款,已提现
1003,DD20170818174852240803158615C,5.0,5.0,王老吉（500ml）,2017-01-10 17:35:00,C,已出货未退款,已提现
1005,DD201708181751201069E5EC43F34,3.0,3.0,怡宝纯净水,2017-01-10 17:36:00,C,已出货未退款,已提现
1007,DD201708181756347894B99503BE6,3.5,3.5,芬达330ml,2017-01-10 17:37:00,C,已出货未退款,已提现
1008,DD201708167493730555870183438,3.5,3.5,维他原味豆奶,2017-01-10 17:37:00,C,已出货未退款,已提现
1011,DD2017081817574468A4D6AE259CF,5.0,5.0,脉动,2017-01-10 17:39:00,C,已出货未退款,已提现
1014,DD2017081818031126DD426DC286C,3.5,3.5,统一绿茶,2017-01-10 17:42:00,C,已出货未退款,已提现
1015,DD201708167493730527625256883,3.5,3.5,维他原味豆奶,2017-01-10 17:42:00,C,已出货未退款,已提现
1017,DD201708167493730315548807804,3.5,3.5,250ml燕塘甜牛奶,2017-01-10 17:44:00,C,已出货未退款,已提现
1018,DD20170818180407719BA587E8CFD,3.0,3.0,怡宝纯净水,2017-01-10 17:44:00,C,已出货未退款,已提现
1020,DD201708167493729950790319268,3.5,3.5,维他柠檬茶,2017-01-10 17:47:00,C,已出货未退款,已提现
1021,DD20170818181059626187F4044B6,3.0,3.0,怡宝纯净水,2017-01-10 17:47:00,C,已出货未退款,已提现
1022,DD201708167493729931050016799,3.5,3.5,85g新麦潮手撕面包（提子味）,2017-01-10 17:48:00,C,已出货未退款,已提现
1023,DD201708181811138744B4EDBABCE,4.0,4.0,果粒橙,2017-01-10 17:48:00,C,已出货未退款,已提现
1026,DD201708181813069488028F9A69E,5.0,5.0,王老吉（500ml）,2017-01-10 17:52:00,C,已出货未退款,已提现
1029,DD201708167493895892396852269,4.5,4.5,78g卫龙亲嘴语辣条,2017-01-10 17:58:00,C,已出货未退款,已提现
1033,DD2017081818192234CB8B19371CD,3.0,3.0,怡宝纯净水,2017-01-10 18:19:00,C,已出货未退款,已提现
1035,DD201708181819547486572BD2DBC,3.0,3.0,怡宝纯净水,2017-01-10 18:21:00,C,已出货未退款,已提现
1037,DD201708167493896255398440953,0.0,0.0,40g双汇玉米热狗肠,2017-01-10 18:24:00,C,已出货未退款,已提现
1041,DD201708167493897188852091785,2.0,2.0,双汇玉米热狗肠,2017-01-10 18:50:00,C,已出货未退款,已提现
1044,DD2017081818240791B556413FB51,3.0,3.0,怡宝纯净水,2017-01-10 19:10:00,C,已出货未退款,已提现
1048,DD2017081818244392365B6347950,3.5,3.5,雪碧330ml,2017-01-10 19:12:00,C,已出货未退款,已提现
1050,DD2017081818251211747A0EE5550,4.5,4.5,脉动,2017-01-10 19:13:00,C,已出货未退款,已提现
1053,DD201708181826111028F616BD81A,5.0,5.0,脉动,2017-01-10 19:16:00,C,已出货未退款,已提现
1054,DD20170818182839547773F3F6A8C,3.0,3.0,怡宝纯净水,2017-01-10 19:18:00,C,已出货未退款,已提现
1059,DD201708167493898134212974371,6.0,6.0,86g合味道浓猪骨味,2017-01-10 19:40:00,C,已出货未退款,已提现
1062,DD2017081818285478D18B9C7B8A3,4.0,4.0,东鹏特饮,2017-01-10 19:47:00,C,已出货未退款,已提现
1064,DD201708167493899145324421082,1.5,1.5,40g双汇玉米热狗肠,2017-01-10 19:49:00,C,已出货未退款,已提现
1065,DD2017081818331955339FFCAA894,4.0,4.0,果粒橙,2017-01-10 19:56:00,C,已出货未退款,已提现
1067,DD201708181833481277E9D819793,5.0,5.0,王老吉（500ml）,2017-01-10 19:58:00,C,已出货未退款,已提现
1069,DD201708167493729890424631743,3.5,3.5,250ml燕塘红枣牛奶,2017-01-10 20:07:00,C,已出货未退款,已提现
1070,DD2017081818415034797594C21C4,3.5,3.5,可口可乐330ml,2017-01-10 20:07:00,C,已出货未退款,已提现
1075,DD2017081818433116B30EF7F2EB6,3.0,3.0,怡宝纯净水,2017-01-10 20:16:00,C,已出货未退款,已提现
1076,DD201708167493900023587875368,4.5,4.5,78g卫龙亲嘴语辣条,2017-01-10 20:18:00,C,已出货未退款,已提现
1078,DD2017081818520284F522EDFE708,5.0,5.0,阿萨姆奶茶,2017-01-10 20:19:00,C,已出货未退款,已提现
1079,DD2017081818560863635536425B9,3.5,3.5,芬达330ml,2017-01-10 20:21:00,C,已出货未退款,已提现
1085,DD201708181857327380E85406122,3.0,3.0,怡宝纯净水,2017-01-10 20:32:00,C,已出货未退款,已提现
1086,DD20170818185746198FF78B01D47,5.0,5.0,脉动,2017-01-10 20:33:00,C,已出货未退款,已提现
1090,DD20170816749390145276489666,5.0,5.0,250ml王老吉盒装,2017-01-10 21:09:00,C,已出货未退款,已提现
